,Unnamed: 0.1,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
10,10,10,10,Australia_at_the_2011_World_Aquatics_Championships_0,What is the birth year of the youngest athlete to take a medal in diving ?,"Reasoning: To find the youngest athlete who won a medal in diving, we need to find all the athletes who won medals in diving, then find their birth years and choose the smallest one. Looking at the table, there are two rows representing athletes who won medals in diving: ""Alexandra Croak Melissa Wu"" and ""Anabelle Smith Sharleen Stratton"". In the additional context, we have the birth year of ""Melissa Wu"": ""Melissa Paige Wu (born 3 May 1992)"". There is no information regarding the birth year of ""Anabelle Smith"".  So, we can conclude that Melissa Wu is the youngest athlete who won a medal in diving.

Answer: 1992 
",1993,"1992 
",1993,1992,0.0,0.0
11,11,11,11,Rhythmic_Gymnastics_World_Cup_0,What year was the World Cup held in the city where the Vinča culture evolved in the 6th millennium BC ?,"Reasoning:
To determine the year the World Cup was held in the city where the Vinča culture evolved, we need to find the location where the Vinča culture evolved and identify the corresponding year from the table. The provided context mentions that the Vinča culture evolved in the Belgrade area. The table shows that the World Cup was held in Belgrade in 1983.

Answer: 1983 
",1983,"1983 
",1983,1983,100.0,100.0
12,12,12,12,List_of_Major_League_Baseball_saves_champions_2,What was the youngest person 's name who tied for annual save leader in the year with the greatest number of people who tied for that recognition ?,"Reasoning:
To answer this question, we need to find the year with the most people tied for the save leader, and then from that year find the player's name who is the youngest. Looking at the table, we see that the year 1886 has the most people tied for the saves leader, with 6 players each recording one save. 

The information provided doesn't include the ages of the players, but it does include when each player was born. To find the youngest player, we'll need to examine the individual player's information. 

Of the players listed for 1886, ""Bones Ely Dave Foutz Nat Hudson Ed Morris Joe Strauss"", we have the following birth dates:

* **Bones Ely:** We don't have birth information on ""Bones Ely"". 
* **Dave Foutz:** We don't have birth information on ""Dave Foutz"". 
* **Nat Hudson:** We don't have birth information on ""Nat Hudson"". 
* **Ed Morris:**  Edward Morris was born on September 29, 1862.
* **Joe Strauss:** Joseph Strauss was born on November 16, 1858.

Based on this, the youngest of the players who tied for the save lead in 1886 is **Joe Strauss**.

Answer: Joe Strauss 
",Dave Foutz,"Joe Strauss 
",dave foutz,joe strauss,0.0,0.0
13,13,13,13,"Papal_conclave,_1370_0",What is the title of the elector who died on 22 July 1376 ?,"Reasoning: To find the title of the elector who died on 22 July 1376, we need to locate the row in the table containing the death date.  The provided context gives us the death date for Simon de Langham as 22 July 1376.  This allows us to extract the Title column for this row, which gives us his title:  ""Archbishop of Canterbury"".

Answer: Archbishop of Canterbury 
",Priest of S. Sisto,"Archbishop of Canterbury 
",priest of s. sisto,archbishop of canterbury,28.571428571428577,0.0
14,14,14,14,List_of_Imperial_German_artillery_regiments_1,What is the latin name of the city that a regiment of the corps established on 1 April 1899 in Frankfurt am Main was garrisoned in ?,"Reasoning:
""To determine the latin name of the city where a regiment of the corps established on 1 April 1899 in Frankfurt am Main was garrisoned, we need to find the row corresponding to the 'XVIII Corps' established on 1 April 1899. Looking at the table, we see that the '3rd ( Brandenburg ) Foot Artillery General-Feldzeugmeister' regiment was established on 16 June 1864, and its garrison was in 'Mainz'. The 'More Context' section provides the latin name of Mainz as 'Mogontiacum'. Therefore, the latin name of the city where the regiment was garrisoned is 'Mogontiacum'."" 
Answer: Mogontiacum 
",Mogontiacum,"Mogontiacum 
",mogontiacum,mogontiacum,100.0,100.0
15,15,15,15,List_of_Dundee_United_F.C._records_and_statistics_0,The player that captained the team that won the 2006 Scottish Cup Final was paid a record signing fee to join a club that beat Tottenham Hotspur to win what trophy ?,"Reasoning:  To find the player who captained the team that won the 2006 Scottish Cup Final, we need to identify the player who was playing at that time. From the more context, Steven Pressley captained the Hearts side that won the 2006 Scottish Cup Final.  To find the trophy that Steven Pressley's former club won, we need to look at the table.  The table shows that Steven Pressley joined Coventry City in 1995.  The more context states that Coventry City won the FA Cup in 1987, beating Tottenham Hotspur.

Answer: [""Steven Pressley"", ""FA Cup""] 
",FA Cup,"FA Cup 
",fa cup,fa cup,100.0,100.0
16,16,16,16,Public_transport_in_Havering_0,"Who manages the station that was completely rebuilt in 1932 by the London , Midland and Scottish Railway ?","Reasoning:  The question asks for the manager of the station that was completely rebuilt in 1932 by the London, Midland and Scottish Railway.  We need to look for a station in the table that was rebuilt in 1932 by the London, Midland and Scottish Railway.  The context states that ""Hornchurch tube station"" was completely rebuilt in 1932 by the London, Midland and Scottish Railway. The table tells us that the manager of Hornchurch station is London Underground.
Answer: London Underground 
",London Underground,"London Underground 
",london underground,london underground,100.0,100.0
17,17,17,17,Indian_Television_Academy_Awards_12,What is the show of the winning actor who has won National Film Award for Best Art Direction four times ?,"Reasoning: 
To determine the show of the winning actor who has won National Film Award for Best Art Direction four times, we need to find the actor who has won this award and then check their corresponding show in the table. The provided context states that Nitin Chandrakant Desai has won the National Film Award for Best Art Direction four times. In the table, his show in the year 2001 is ""The Great Warrior Chhatrapati Shivaji"".

Answer: 
""The Great Warrior Chhatrapati Shivaji"" 
",The Great Warrior Chhatrapati Shivaji,"The Great Warrior Chhatrapati Shivaji 
",the great warrior chhatrapati shivaji,the great warrior chhatrapati shivaji,100.0,100.0
18,18,18,18,2000_MLS_SuperDraft_0,What is the birthplace of the player who was first pick in the 2000 MLS SuperDraft and was affiliated with the fourth-oldest university of the 10-campus University of California system ?,"Reasoning: 
- The question asks for the birthplace of the player who was first pick in the 2000 MLS SuperDraft and affiliated with the fourth-oldest university of the 10-campus University of California system.
- From the table, we can see that Steve Shak was drafted first in the 2000 MLS SuperDraft. 
- We are given additional context that UCLA is the fourth-oldest university in the University of California system, and Steve Shak was affiliated with UCLA.
- Therefore, the player in question is Steve Shak.
- In the additional context, we can see that Steve Shak was born in Cerritos, California.

Answer: Cerritos, California 
","Cerritos , California","Cerritos, California 
","cerritos , california","cerritos, california",100.0,100.0
19,19,19,19,List_of_soccer_clubs_in_Australia_0,What is the League/Division of the club that was formed in 1954 ?,"Reasoning:  To determine the League/Division of the club that was formed in 1954, we need to find the row that corresponds to the club that was formed in 1954. Based on the context, ""APIA Leichhardt Tigers FC"" was formed in 1954. The row corresponding to ""APIA Leichhardt Tigers FC"" has the value ""National Premier Leagues NSW"" in the ""League/Division"" column.

Answer: National Premier Leagues NSW 
",National Premier Leagues NSW,"National Premier Leagues NSW 
",national premier leagues nsw,national premier leagues nsw,100.0,100.0
20,20,20,20,American_Horse_of_the_Year_0,What was the month of birth of the trainer of the 2018 American Horse of the Year ?,"Reasoning: The table shows that the 2018 American Horse of the Year was Justify, trained by Bob Baffert.  The provided context indicates that Bob Baffert was born on January 13. Thus, the month of his birth is January. 

Answer: January 
",January,"January 
",january,january,100.0,100.0
21,21,21,21,Montenegrin_First_League_8,Which of the 2007 clubs was established first ?,"Reasoning:  To determine the club established first between FK Berane and FK Lovćen in 2007, we need to review their establishment dates from the provided context. FK Berane was established in 1920, while FK Lovćen was founded in 1913. 

Answer: FK Lovćen 
",FK Lovćen,"FK Lovćen 
",fk lovćen,fk lovćen,100.0,100.0
22,22,22,22,List_of_comic_book_supervillain_debuts_2,"Of the five listed characters that appear on IGN 's list of the Top 100 Comic Book Villains Of All Time List , who is # 67 ?","Reasoning: To answer the question of who is # 67 on IGN's list of the Top 100 Comic Book Villains Of All Time, we need to identify the characters from the table that are mentioned in the additional context as being on the list. The table provides the character names, and the additional context provides information about their appearances on the list. 
    - Deadshot is ranked 43rd
    - Captain Cold is ranked 27th
    - Brainiac is ranked 17th
    - Mr. Freeze is ranked 67th
    - Mirror Master is ranked 79th.

Answer: Mr. Freeze 
",Mr . Freeze,"Mr. Freeze 
",mr . freeze,mr. freeze,100.0,100.0
23,23,23,23,List_of_soccer_clubs_in_Australia_6,"For the club originally called Palm Beach SC , in what month did its city host the 2018 Commonwealth Games ?","Reasoning:
  ""To answer the question, we need to find the club that was originally called Palm Beach SC and determine the month in which its city hosted the 2018 Commonwealth Games. From the table, we can see that Gold Coast City FC was originally called Palm Beach SC. The context states that Gold Coast, Queensland hosted the 2018 Commonwealth Games from April 4 to 15. Therefore, the month in which Gold Coast City FC's city hosted the 2018 Commonwealth Games is April.""
Answer: April 
",April,"April 
",april,april,100.0,100.0
24,24,24,24,Li_Yundi_discography_0,In which year was this record label founded that recorded the works of this composer who moved to Paris at the age of 21 ?,"Reasoning:  The table lists the recording date, record label, and composer works for the various releases. To answer the question, we need to identify the composer who moved to Paris at age 21 and find the record label associated with their works. The context tells us Frédéric Chopin moved to Paris at age 21. The record labels associated with Chopin's works are Maxell and Deutsche Grammophon. The question asks for the founding year of the record label, and while we know Deutsche Grammophon is the oldest surviving record label, its founding year isn't specified in the context. We also know that Maxell was established in 1961, but it is not specified in the context.

Answer:  We can't determine the answer definitively from the information provided. 
",1990,"Not enough information provided. 
",1990,not enough information provided,0.0,0.0
25,25,25,25,Javelin_throw_5,Which 1960s athlete is older ?,"Reasoning: To find the older athlete, we need to compare the birth years of the athletes who competed in the 1960s. The table lists athletes who competed in the 1960s and their birth years are as follows:

* Jānis Lūsis (URS): Born 19 May 1939
* Jorma Kinnunen (FIN): Born 15 December 1941

Jānis Lūsis was born in 1939, which is earlier than Jorma Kinnunen's birth year of 1941. 

Answer: [""Jānis Lūsis""] 
",Jānis Lūsis,"Jānis Lūsis 
",jānis lūsis,jānis lūsis,100.0,100.0
26,26,26,26,Kazakhstan_at_the_2004_Summer_Olympics_0,What event besides decathlon does the bronze medalist in men 's decathlon at the Olympic Games of 2004 participate in ?,"Reasoning: 
To find the event that Dmitriy Karpov, the bronze medalist in the men's decathlon, participates in besides the decathlon, we need to locate his name in the table. We then need to look for the corresponding value in the 'Sport' column. The table shows that Dmitriy Karpov's 'Sport' is 'Athletics'. 

Answer: Athletics 
",heptathlon,"Athletics 
",heptathlon,athletics,0.0,0.0
27,27,27,27,Bellerive_Oval_0,What is the mascot of the team that played at Bellerive Oval in August and June of 2016 ?,"Reasoning: 
The table contains the dates of games played at the Bellerive Oval. We can locate the games played in August and June of 2016. Row 9 shows a game on August 20, 2016 between North Melbourne v. Sydney Swans, and Row 4 shows a game on June 3, 2016 between North Melbourne v. Richmond. Looking up the team North Melbourne in the more_context, we find the team mascot is a grey kangaroo. 

Answer: Grey kangaroo 
",kangaroo,"Grey kangaroo 
",kangaroo,kangaroo,100.0,100.0
28,28,28,28,"List_of_schools_in_Perth,_Western_Australia_0",What is the year of the school whose suburb was originally named West Guildford ?,"Reasoning:  To find the year of the school whose suburb was originally named West Guildford, we need to find the row in the table where the suburb is 'West Guildford', which is not listed in the table.  However, the more context section states that Bassendean was originally named West Guildford.  We then need to find the school in the table whose suburb is Bassendean.  The relevant row in the table is: Anzac Terrace Primary School | Bassendean | Bassendean | 1969.  
Answer - 1969 
",1969,"1969 
",1969,1969,100.0,100.0
29,29,29,29,List_of_bridges_on_the_National_Register_of_Historic_Places_in_Oklahoma_0,In what year was the bridge built whose county was named for an Oklahoma constitutional convention attendee ?,"Reasoning: To answer this question, we must locate the row that corresponds to the bridge whose county is named after an Oklahoma constitutional convention attendee. The text tells us that McClain County was named after Charles M. McClain, an Oklahoma constitutional convention attendee. So we must locate the bridge that is in McClain County. This row is US Highway 77 Bridge at Canadian River, which was built in 1938.
Answer: 1938",1938,"1938 
",1938,1938,100.0,100.0
30,30,30,30,List_of_Pacific-12_Conference_national_championships_0,"What is the number of NCAA Team Championships ( through January 15 , 2020 ) of the college that is the original private research university in its state ?","Reasoning: 
To find the NCAA Team Championships for the original private research university in its state, we need to identify the university with that characteristic and then locate the corresponding NCAA Team Championships value. 
The table indicates that the University of Southern California is a private research university in California. The context describes it as the ""oldest private research university in California"".
Therefore, the answer is the NCAA Team Championships for the University of Southern California.

Answer: 107 
",107,"107
",107.0,107.0,100.0,100.0
31,31,31,31,Top_Fest_0,With what song did the singer who won Top Fest in 2012 win the Eurovision Song Contest in 2015 ?,"Reasoning:  To answer this question, we need to find the singer who won Top Fest in 2012 and then identify the song they used to win Eurovision in 2015.
1. The table shows that Elhaida Dani won Top Fest in 2012 with the song 'S'je më'. 
2. The additional information tells us that Elhaida Dani represented Albania in Eurovision in 2015 with the song 'I'm Alive'. 

Answer:  ['I'm Alive'] 
",I 'm Alive,"I'm Alive 
",i 'm alive,i'm alive,40.0,0.0
32,32,32,32,1997_San_Marino_Grand_Prix_0,Which year did the driver who finished 8th in the qualifying round of the 1997 San Marino Grand Prix enter Formula One ?,"Reasoning: 
To determine the year the 8th placed driver in the qualifying round of the 1997 San Marino Grand Prix entered Formula One, we need to identify the driver who finished 8th in the table, then locate the year he entered Formula One in the provided context. 

The table shows that Gerhard Berger finished 8th in the qualifying round. The context information provided states that Gerhard Berger competed in Formula One for 14 seasons. We do not have information regarding the specific year he entered Formula One.

Answer: 
We do not have enough information to answer the question.  The context only indicates that Gerhard Berger competed in Formula One for 14 seasons, but does not state the specific year he entered. 
",1991,"Not enough information provided. 
",1991,not enough information provided,0.0,0.0
33,33,33,33,81st_United_States_Congress_1,"Of the successors who took over on November 7th , who was born first ?","Reasoning: To determine which successor who took over on November 7th was born first, we need to find the rows with 'Date of successor's formal installation' as November 7th, and then compare the birthdates of the successors in those rows. The relevant rows are:
- North Carolina 11th | Alfred L. Bulwinkle ( D ) | Died August 31, 1950 | Woodrow W. Jones ( D ) | November 7, 1950
- Kansas 3rd | Herbert A. Meyer ( R ) | Died October 2, 1950 | Myron V. George ( R ) | November 7, 1950
The context provides the birth dates of Woodrow W. Jones (January 26, 1914) and Myron V. George (January 6, 1900). Since Myron V. George was born earlier, he is the successor who was born first.

Answer: Myron V. George 
",Myron Virgil George,"Myron V. George 
",myron virgil george,myron v. george,66.66666666666666,0.0
34,34,34,34,Atlantic_League_of_Professional_Baseball_0,In which year did the team that most recently won the league in 2013 welcome their 6 millionth fan ?,"Reasoning: The table shows the winner of the league each year. The question asks for the year the team that won in 2013 welcomed their 6 millionth fan.  From the table, we see that the Long Island Ducks won in 2013. The context tells us that the Long Island Ducks welcomed their 6 millionth fan in mid-2014. 

Answer: 2014 
",2014,"2014 
",2014,2014,100.0,100.0
35,35,35,35,Leipzig_Marathon_0,"Of the countries for 2003 and 2004 , which country has a larger population ?","Reasoning: 
To determine which country between Kenya and Ukraine has a larger population, we need to look at the context for each country and compare their population sizes. 
The context states that Kenya has a population of more than 47.6 million people and Ukraine has a population of about 42 million people. 

Answer: 
Kenya 
",Kenya,"Kenya 
",kenya,kenya,100.0,100.0
36,36,36,36,List_of_films_released_by_New_Line_Cinema_5,Which film was produced by a film and television production company co-founded in 1989 by actor Robert De Niro and producer Jane Rosenthal ?,"Reasoning: To answer this question, we need to locate the row in the table that corresponds to a film produced by the company ""Tribeca Productions"". Looking at the table, we find the film ""The Rite"" has the note ""co-production with TriBeCa Productions"".

Answer: The Rite 
",The Rite,"The Rite 
",the rite,the rite,100.0,100.0
37,37,37,37,2012_Kenyan_Premier_League_1,what is the team of the coach born 12/30/1980 ?,"Reasoning: To find the team of the coach born 12/30/1980, we need to look for the coach with that birthdate in the table.  The coach born on 12/30/1980 is James Omondi.  We can then find the team associated with James Omondi by looking at the 'Team' column in the row with his name.
Answer:  Kenya Commercial Bank",Kenya Commercial Bank,"Kenya Commercial Bank 
",kenya coercial bank,kenya coercial bank,100.0,100.0
38,38,38,38,Torneo_Argentino_A_0,"Who was the runner-up the year that the champion was the team from Rafaela , Santa Fe Province that was founded in 1940 ?","Reasoning:  The question asks for the runner-up in a season where the champion was a team from Rafaela, Santa Fe Province, founded in 1940. Looking through the table, we find that Club Sportivo Ben Hur, from Rafaela, Santa Fe Province, and founded in 1940, won the 2004-05 season. Looking at the table for that season, we find that the runner-up was Aldosivi.

Answer: Aldosivi 
",Aldosivi,"Aldosivi 
",aldosivi,aldosivi,100.0,100.0
39,39,39,39,History_of_rugby_union_matches_between_England_and_Samoa_1,"What was the date of the match played at the venue that opened for the first time on May 8 , 1984 ?","Reasoning: 
The question asks for the date of a match played at a venue that opened on May 8, 1984. However, the table provides no information about opening dates for any of the venues. The provided context also does not mention any opening dates for the venues. Therefore, we cannot answer the question.

Answer:
We cannot answer the question based on the provided information. 
",22 September 2007,"Not enough information provided. 
",22 september 2007,not enough information provided,0.0,0.0
40,40,40,40,List_of_New_York_University_faculty_and_staff_3,What was the notability of the professor who was a joint winner of the 1959 Nobel Prize in Physiology or Medicine ?,"Reasoning: To find the professor who was a joint winner of the 1959 Nobel Prize in Physiology or Medicine, we need to search the table for the relevant information. The table provides a column for Notability, so we need to find the row where the Notability column matches the given description.  Searching the table reveals that Severo Ochoa was the professor who was a joint winner of the 1959 Nobel Prize in Physiology or Medicine.  The table provides his Notability as: ""1979 National Medal of Science recipient"".  

Answer: 1979 National Medal of Science recipient. 
",1979 National Medal of Science recipient,"1979 National Medal of Science recipient 
",1979 national medal of science recipient,1979 national medal of science recipient,100.0,100.0
41,41,41,41,List_of_Baptist_churches_in_Alabama_0,"Built in the 1840 's , this church sits in a county with the population of 11,670 ?","Reasoning:  To find the church built in the 1840s located in a county with a population of 11,670, we need to find the row in the table with a ""Built in"" year in the 1840s and then check the corresponding ""County"" and then look in the ""More Context"" for the population of that county. The only church built in the 1840s is Ackerville Baptist Church of Christ, and its corresponding county is Wilcox County. The More Context states that Wilcox County has a population of 11,670. 

Answer: [""Ackerville Baptist Church of Christ""] 
",Ackerville Baptist Church of Christ,"Ackerville Baptist Church of Christ 
",ackerville baptist church of christ,ackerville baptist church of christ,100.0,100.0
42,42,42,42,African_Junior_Athletics_Championships_0,How many kilometers from Lake Kossou is the city that hosted the second edition of the African U20 Championships in Athletics ?,"Reasoning: The question asks for the distance between Lake Kossou and the city hosting the second edition of the African U20 Championships in Athletics. Looking at the table, the second edition was held in Bouaké, Ivory Coast.  The provided context describes Bouaké as being located 50 kilometers northeast of Lake Kossou.

Answer: 50 kilometers. 
",50,"50 kilometers 
",50.0,50.0,100.0,100.0
43,43,43,43,7th_Legislative_Assembly_of_Manitoba_0,Who was in control of the district which was abolished with the 1969 Manitoba provincial election ?,"Reasoning:  To find the districts abolished in 1969, we need to go through each row of the table and identify any member whose ""Electoral district"" was abolished in 1969.  The relevant rows are:
- James A. Smart | Brandon City | Liberal
- Martin Jérôme | Carillon | Liberal
- Rodmond Roblin | Dufferin | Liberal
- James Thomson | Emerson | Liberal
- William Lagimodière | La Verendrye | Liberal
- Robert George O'Malley | Lorne | Conservative

We see that the district controlled by **Robert George O'Malley** (Lorne) was a Conservative district. 

Answer -  Robert George O'Malley  
",Ernest Jameson Wood,"Robert George O'Malley 
",ernest jameson wood,robert george o'malley,0.0,0.0
44,44,44,44,List_of_French-language_newspapers_published_in_the_United_States_1,What is the GDP of the city with a newspaper that was established in 1920 ?,"Reasoning:
To find the GDP of the city with a newspaper established in 1920, we need to identify the city from the table based on the year established. The newspaper 'Le Courrier Français' was established in 1920 and is located in Los Angeles. From the More context section, we find that the GDP of Los Angeles is $1.3 trillion.

Answer: $1.3 trillion 
",$ 549 billion,"$1.3 trillion 
",549.0,1.3 trillion,0.0,0.0
45,45,45,45,Tim_Schafer_0,Who was the cartoonist that gave inspiration to the 1993 game on which Tim Schafer worked ?,"Reasoning:  To determine the cartoonist who inspired the 1993 game on which Tim Schafer worked, we need to identify the game from the table that was released in 1993 and find the corresponding information in the ""More context"" section.  The table indicates ""Day of the Tentacle"" was released in 1993.  The ""More context"" section states that ""Day of the Tentacle"" was inspired by Chuck Jones cartoons.  
Answer: [""Chuck Jones""] 
",Chuck Jones,"Chuck Jones 
",chuck j1s,chuck j1s,100.0,100.0
46,46,46,46,Haemimont_Games_0,The 2015 game from Haemimont went into early access during what month ?,"Reasoning:  To answer the question ""The 2015 game from Haemimont went into early access during what month?"", we need to find the game released in 2015 and identify the month of early access. Looking at the table, the game released in 2015 is ""Victor Vran"". The context mentions that ""Victor Vran"" entered Steam Early Access in February 2015. 
Answer: February 
",February,"February 
",february,february,100.0,100.0
47,47,47,47,List_of_number-one_albums_of_2013_(Australia)_0,What was the total population of this country in 2019 that this duo made of Guy-Manuel de Homem-Christo and Thomas Bangalter is from ?,"Reasoning:  The question asks for the population of the country Daft Punk is from in 2019. The table lists Daft Punk as being from France.  The additional context provides information about France and states that the total population was 67.02 million as of July 2019. 

Answer:  67.02 million 
",67.02 million,"67.02 million 
",67.02,67.02,100.0,100.0
48,48,48,48,2013_Pittsburgh_Pirates_season_0,"In what city did the player who achieved their 500th career inning pitch on April 20 , 2013 go to college ?","Reasoning: To answer the question, we need to find the row in the table that corresponds to the 500th career inning pitch on April 20, 2013. This row shows the player is J. McDonald.  We can then use the ""More context"" section to find the city where J. McDonald attended college. 

Answer: Huntington Beach, California 
",Huntington beach,"Huntington Beach, California 
",huntington beach,huntington beach,100.0,100.0
