,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
10,10,What shows did Marisol Nichols appear in during 1996?,"Decompose to subquestions:
- sq1: What shows did Marisol Nichols appear in during 1996? (independent)

Answers: 
- Answer to sq1: The shows that Marisol Nichols appeared in during 1996 are:
  - My Guys
  - Due South
  - Beverly Hills, 90210

Final answer: My Guys, Due South, Beverly Hills, 90210.","In 1996, Marisol Nichols appeared in My Guys, Due South, and Beverly Hills, 90210.","My Guys, Due South, Beverly Hills, 90210 
","in 1996, marisol nichols appeared in my guys, due south, and beverly hills, 90210","my guys, due south, beverly hills, 90210",66.66666666666666,0.0
11,11,How did the last two finishers perform in the Women's 800 metre freestyle?,"Decompose to subquestions-

sq1. Who were the last two finishers in the Women's 800 metre freestyle? (independent)  
sq2. What were the times of the last two finishers? (depends on sq1)  
sq3. Were there any notes for the last two finishers? (depends on sq1)  
sq4. Combine the extracted information about the finishers' performance. (depends on sq2, sq3)  

answers:  
Answer to sq1: The last two finishers were Lotte Friis and Sarah Köhler.  
Answer to sq2: Lotte Friis finished with a time of 8:24.50, while Sarah Köhler finished with a time of 8:27.75.  
Answer to sq3: There were no notes for Lotte Friis, and there were no notes for Sarah Köhler.  
Answer to sq4: Lotte Friis finished 7th with a time of 8:24.50, and Sarah Köhler finished 8th with a time of 8:27.75; both had no additional notes.  

final_answer: Lotte Friis finished 7th with a time of 8:24.50, and Sarah Köhler finished 8th with a time of 8:27.75; both had no additional notes.",Denmark's Lotte Friis recorded a time of 8:24.50 and Germany's Sarah Köhler recorded a time of 8:27.75 at the Olympics.,"Lotte Friis finished 7th, Sarah Köhler finished 8th 
",denmark's lotte friis recorded a time of 8:24.50 and germany's sarah köhler recorded a time of 8:27.75 at the olympics,"lotte friis finished 7, sarah köhler finished 8",31.999999999999996,0.0
12,12,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,"Decompose to subquestions-  
sq1. What were the votes received by the Unionist Candidate? (independent)  
sq2. What percentage of the total votes did the Unionist Candidate receive? (depends on sq1)  
sq3. What was the majority margin in the election? (independent)  
sq4. How did the Unionist Candidate's results compare to the majority margin? (depends on sq2, sq3)  

Answers:  
Answer to sq1: The Unionist Candidate, Robert McCalmont, received 15,206 votes.  
Answer to sq2: Robert McCalmont received 94.6% of the votes.  
Answer to sq3: The majority margin was 14,345 votes (89.3%).  
Answer to sq4: Robert McCalmont's performance was significantly higher than the majority margin.  

Final answer: Robert McCalmont received 15,206 votes (94.6%), significantly higher than the majority margin of 14,345 votes (89.3%).","The Unionist candidate had a victory by 15,206 votes to Sinn Féin's 861 votes.","Robert McCalmont won by a large margin. 
","the unionist candidate had a victory by 15,206 votes to sinn féin's 861 votes",robert mccalmont won by a large margin,11.11111111111111,0.0
13,13,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,"**Decompose to subquestions-**

sq1. Who finished 2nd in the 100m event at the 2014 Commonwealth Games? (independent)  
sq2. What was the time achieved by the 2nd place finisher in the 100m at the 2014 Commonwealth Games? (depends on sq1)  
sq3. Who finished 2nd in the 4 × 100 m relay at the 2014 Commonwealth Games? (independent)  
sq4. What was the time achieved by the 2nd place finisher in the 4 × 100 m relay at the 2014 Commonwealth Games? (depends on sq3)  

**Answers-**  
Answer to sq1: Adam Gemili finished 2nd in the 100m event at the 2014 Commonwealth Games.  
Answer to sq2: The time achieved was 10.10.  
Answer to sq3: Adam Gemili finished 2nd in the 4 × 100 m relay at the 2014 Commonwealth Games.  
Answer to sq4: The time achieved was 38.02.  

**Final answer:** Adam Gemili, 10.10 and 38.02.","In the 2014 Commonwealth Games, Gemili finished the 100m in second position with a time of 10.10 seconds.","Adam Gemili, 10.10, 38.02 
","in the 2014 coonwealth games, gemili finished the 100m in second position with a time of 10.10 seconds","adam gemili, 10.10, 38.02",21.05263157894737,0.0
14,14,"When was ""I've Got a Feeling"" released?","Decompose to subquestions-  
sq1. What release dates are present in the table for ""I've Got a Feeling""?  
sq2. Identify the earliest release date from the relevant section.  

answers:  
Answer to sq1:  
- United States: October 7, 1997 (Promotional CD single)  
- United States: October 7, 1997 (CD single)  
- Australia: 1998 (CD single)  

Answer to sq2: The earliest release date is October 7, 1997.  

final_answer: October 7, 1997.  ","""I've Got a Feeling"" was released, through Atlantic, in the United States on October 7, 1997 and in Australia in 1998.","October 7, 1997 
","i've got a feeling was released, through atlantic, in the united states on october 7, 1997 and in australia in 1998","october 7, 1997",27.27272727272727,0.0
15,15,What and when were Tom Felton's first two roles?,"Decomposition to subquestions-  
sq1. What were Tom Felton's first two roles? (independent)  
sq2. What years did Tom Felton play these roles? (depends on sq1)  

Answers:  
Answer to sq1: The first two roles are Peagreen Clock in The Borrowers and Louis T. Leonowens in Anna and the King.  
Answer to sq2: The years for these roles are 1997 for The Borrowers and 1999 for Anna and the King.  

Final answer: Peagreen Clock in The Borrowers (1997) and Louis T. Leonowens in Anna and the King (1999).",Tom Felton made his debut in the role of Peagreen Clock in The Borrowers in 1997 and portrayed Louis T. Leonowens in Anna and the King in 1999.,"Peagreen Clock (1997), Louis T. Leonowens (1999) 
",tom felton made his debut in the role of peagreen clock in the borrowers in 1997 and portrayed louis t. leonowens in anna and the king in 1999,"peagreen clock (1997), louis t. leonowens (1999)",43.75000000000001,0.0
16,16,What were the results of the 1990 Colorado gubernatorial election?,"Decompose to subquestions-  
sq1. What were the candidates in the 1990 Colorado gubernatorial election? (independent)  
sq2. How many votes did each candidate receive? (depends on sq1)  
sq3. What percentage of the total votes did each candidate receive? (depends on sq1)  
sq4. What was the total number of votes cast in the election? (independent)  
sq5. What was the majority vote margin? (independent)  

Answers-  
Answer to sq1: Candidates were Roy Romer (Democratic), John Andrews (Republican), David Aitken (Libertarian), and David Livingston (Prohibition).  
Answer to sq2:  
- Roy Romer: 626,032 votes  
- John Andrews: 358,403 votes  
- David Aitken: 18,930 votes  
- David Livingston: 7,907 votes  
Answer to sq3:  
- Roy Romer: 61.89%  
- John Andrews: 35.43%  
- David Aitken: 1.87%  
- David Livingston: 0.78%  
Answer to sq4: Total votes cast in the election: 1,011,272.  
Answer to sq5: Majority vote margin: 267,629 votes.  

Final answer: In the 1990 Colorado gubernatorial election, Roy Romer (Democratic) received 626,032 votes (61.89%), John Andrews (Republican) received 358,403 votes (35.43%), David Aitken (Libertarian) received 18,930 votes (1.87%), and David Livingston (Prohibition) received 7,907 votes (0.78%). The total votes cast were 1,011,272, with a majority margin of 267,629 votes.","Democrat Roy Romer defeated Republican nominee, John Andrews with 61.89% of the vote.","Roy Romer won with 626,032 votes. 
","democrat roy romer defeated republican nominee, john andrews with 61.89% of the vote","roy romer won with 626,032 votes",33.33333333333333,0.0
17,17,"In the 86th United States Congress, What date was the end of Richard M. Simpson's service, and who was his successor?","Decompose to subquestions-  
sq1. What date did Richard M. Simpson's service end? (independent)  
sq2. Who was Richard M. Simpson's successor? (independent)  

answers:  
Answer to sq1: January 7, 1960.  
Answer to sq2: Douglas H. Elliott.  

final_answer: January 7, 1960, Douglas H. Elliott.","In the 86th United States Congress, Richard M. Simpson (R) served until January 7, 1960 and was succeeded by Douglas H. Elliott (R) on April 26, 1960, who served until June 19, 1960.","January 7, 1960, Douglas H. Elliott 
","in the 86 united states congress, richard m. simpson (r) served until january 7, 1960 and was succeeded by douglas h. elliott (r) on april 26, 1960, who served until june 19, 1960","january 7, 1960, douglas h. elliott",31.57894736842105,0.0
18,18,"What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively?","Decompose to subquestions-  
sq1. What role did Sandra Peabody play in Tarot? (independent)  
sq2. What role did Sandra Peabody play in Annie Get Your Gun? (independent)  

answers:  
Answer to sq1: The Sun.  
Answer to sq2: Minnie.  

final_answer: The Sun and Minnie.","Peabody appeared as The Sun in an Off-Broadway production of Tarot (1970), which she followed with the role as Minnie in Annie Get Your Gun (1973-1974).","The Sun and Minnie 
",peabody appeared as the sun in an off-broadway production of tarot,the sun and minnie,16.666666666666664,0.0
19,19,How close was Texas' 21st congressional district election?,"Decompose to subquestions-
 
sq1. What was the total number of votes cast in the election?
sq2. What was the number of votes received by the winning candidate?
sq3. What was the number of votes received by the second candidate?
sq4. Calculate the difference in votes between the winning candidate and the second candidate.

answers: |
Answer to sq1: Total votes cast: 236,284.  
Answer to sq2: Votes received by Lamar Smith (winning candidate): 169,924.  
Answer to sq3: Votes received by Lainey Melnick (second candidate): 65,834.  
Answer to sq4: Difference in votes: 169,924 - 65,834 = 104,090.

final_answer: 104,090 votes.","In the Texas's 21st congressional district election, Lamar Smith defeated Lainey Melnick with 68.9 percent of the vote, with a majority of 96929 votes.","104,090 votes 
","in the texas's 21 congressional district election, lamar smith defeated lainey melnick with 68.9 percent of the vote, with a majority of 96929 votes","104,090 votes",8.695652173913041,0.0
20,20,What are all the non-Leo awards for which Rickards received a solo nomination?,"Decompose to subquestions-  
sq1. Identify the non-Leo awards from the table. (independent)  
sq2. Determine which of these non-Leo awards had solo nominations for Emily Bett Rickards. (depends on sq1)  
sq3. Extract the details of the relevant non-Leo awards and nominations. (depends on sq2)  

answers:  
Answer to sq1: The non-Leo awards are:  
- Teen Choice Awards  
- MTV Fandom Awards  

Answer to sq2: The non-Leo awards with solo nominations for Emily Bett Rickards are:  
- Teen Choice Awards (Female Breakout Star, Choice TV Actress - Fantasy/Sci-Fi)  

Answer to sq3: The details of the relevant non-Leo awards and nominations are:  
- Teen Choice Awards | Female Breakout Star | 2014 | Nominated  
- Teen Choice Awards | Choice TV Actress - Fantasy/Sci-Fi | 2015 | Nominated  

final_answer: Teen Choice Awards: Female Breakout Star (2014), Choice TV Actress - Fantasy/Sci-Fi (2015).  ","Rickards has been nominated for five Teen Choice Awards: four for Choice TV Actress in Fantasy, Sci-Fi, or Action, and one for Female Breakout Star in 2014.","Teen Choice Awards: Female Breakout Star (2014), Choice TV Actress - Fantasy/Sci-Fi (2015) 
","rickards has been nominated for 5 teen choice awards: 4 for choice tv actress in fantasy, sci-fi, or action, and 1 for female breakout star in 2014","teen choice awards: female breakout star (2014), choice tv actress - fantasy/sci-fi (2015)",51.28205128205128,0.0
21,21,What films did Aaron Taylor-Johnson appear in in 2017 and 2018?,"Decompose to subquestions-  
sq1. What films did Aaron Taylor-Johnson appear in during 2017? (independent)  
sq2. What films did Aaron Taylor-Johnson appear in during 2018? (independent)  
sq3. Combine the films from sq1 and sq2 into a final answer. (depends on sq1 and sq2)    

answers:  
Answer to sq1: Aaron Taylor-Johnson appeared in ""The Wall"" in 2017.  
Answer to sq2: Aaron Taylor-Johnson appeared in ""Outlaw King"" and ""A Million Little Pieces"" in 2018.  
Answer to sq3: The films are ""The Wall"", ""Outlaw King"", and ""A Million Little Pieces"".    

final_answer: The Wall, Outlaw King, A Million Little Pieces.","In 2017, Aaron Taylor-Johnson appeared in Doug Liman's The Wall and, in 2018, appeared in Outlaw King as well as A milliom Little Pieces.","The Wall, Outlaw King, A Million Little Pieces 
","in 2017, aaron taylor-johnson appeared in doug liman's the wall and, in 2018, appeared in outlaw king as well as a milliom little pieces","the wall, outlaw king, a million little pieces",35.714285714285715,0.0
22,22,How many Best Actress Awards did Choi win in 1994 and where were they from?,"Decompose to subquestions-  
sq1. How many Best Actress Awards did Choi Myung-gil win in 1994? (independent)  
sq2. From which awards did she win the Best Actress in 1994? (depends on sq1)  

answers:  
Answer to sq1: Choi Myung-gil won 3 Best Actress Awards in 1994.  
Answer to sq2: The Best Actress Awards in 1994 were from the 16th Three Continents Festival, 15th Blue Dragon Film Awards, and 5th Chunsa Film Art Awards.  

final_answer: 3 Best Actress Awards from Three Continents Festival, Blue Dragon Film Awards, Chunsa Film Art Awards.  ","Choi received 2 Best Actress awards for Rosy Life, one at the 16th Three Continents Festival and the other in the 15th Blue Dragon Film Awards.","3, Three Continents Festival, Blue Dragon Film Awards, Chunsa Film Art Awards 
","choi received 2 best actress awards for rosy life, 1 at the 16 3 continents festival and the other in the 15 blue dragon film awards","3, 3 continents festival, blue dragon film awards, chunsa film art awards",45.71428571428571,0.0
23,23,What year was Rosie Huntington-Whiteley most successful?,"Decompose to subquestions-

sq1. Identify the years in which Rosie Huntington-Whiteley won awards. (independent)  
sq2. Count the number of awards Rosie Huntington-Whiteley won in each year. (depends on sq1)  
sq3. Determine the year with the highest number of awards won. (depends on sq2)  

answers:  
Answer to sq1: The years she won awards are 2009, 2011, 2012, 2014, and 2015.  
Answer to sq2:  
- 2009: 1 award  
- 2011: 4 awards  
- 2012: 1 award  
- 2014: 1 award  
- 2015: 1 award  

Answer to sq3: The year with the highest number of awards won is 2011 with 4 awards.  

final_answer: 2011",In 2011 Rosie Huntington-Whiteley won 3 awards and was nominated for the Teen Choice Awards Choice Movie Actress: Summer award.,"2011 
",in 2011 rosie huntington-whiteley won 3 awards and was nominated for the teen choice awards choice movie actress: suer award,2011,10.0,0.0
24,24,Who were the top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles?,"Decompose to subquestions-
- sq1. Who finished first in the 1952 Summer Olympics – Men's 110 metres hurdles?
- sq2. Who finished second in the 1952 Summer Olympics – Men's 110 metres hurdles?

Answers: 
- Answer to sq1: Harrison Dillard, United States, 13.91 (OR).
- Answer to sq2: Jack Davis, United States, 14.00.

Final answer: Harrison Dillard and Jack Davis.",Automatic timing showed Dillard had a time of 13.91 and Davis recorded a time of 14.00.,"Harrison Dillard, Jack Davis 
",automatic timing showed dillard had a time of 13.91 and davis recorded a time of 14.00,"harrison dillard, jack davis",22.222222222222225,0.0
25,25,What movies and roles did Morris play in 1997?,"Decompose to subquestions-

sq1. What films did Haviland Morris appear in during the year 1997? (independent)  
sq2. What roles did Haviland Morris play in those films in 1997? (depends on sq1)  

answers:  
Answer to sq1: The films are The Fifth Element and Home Alone 3.  
Answer to sq2: The roles are Korben Dallas's mother (voice) and Karen Pruitt.  

final_answer: The Fifth Element as Korben Dallas's mother (voice), Home Alone 3 as Karen Pruitt.  ",Morris played Korben Dallas's mother in The Fifth Element and Karen Pruitt in Home Alone 3 in 1997.,"The Fifth Element, Home Alone 3 
",morris played korben dallas's mother in the fifth element and karen pruitt in home al1 3 in 1997,"the fifth element, home al1 3",45.45454545454545,0.0
26,26,Who received the silver and bronze medals for the women's 400 metres hurdles at the 1992 Summer Olympics?,"Decompose to subquestions-  
sq1. Who received the silver medal in the women's 400 metres hurdles at the 1992 Summer Olympics? (independent)  
sq2. Who received the bronze medal in the women's 400 metres hurdles at the 1992 Summer Olympics? (independent)  

answers:  
Answer to sq1: Sandra Farmer-Patrick (USA) received the silver medal.  
Answer to sq2: Janeene Vickers (USA) received the bronze medal.  

final_answer: Sandra Farmer-Patrick (silver), Janeene Vickers (bronze).","Farmer-Patrick was in second, winning silver in 53.69 secs, while Vickers narrowly held on for the bronze medal from Ledovskaya, both being timed at 54.31 secs.","Sandra Farmer-Patrick, Janeene Vickers 
","farmer-patrick was in second, winning silver in 53.69 secs, while vickers narrowly held on for the bronze medal from ledovskaya, both being timed at 54.31 secs","sandra farmer-patrick, janeene vickers",13.793103448275865,0.0
27,27,What did Kathryn Beaumont star in 1953?,"Decompose to subquestions-

sq1. What titles did Kathryn Beaumont star in during 1953? (independent)

answers: |
  Answer to sq1: Kathryn Beaumont starred in ""Peter Pan"" in 1953.

final_answer: Peter Pan.",Kathryn Beaumont starred in the voice role of Wendy Darling in Peter Pan (1953).,"Peter Pan 
",kathryn beaumont starred in the voice role of wendy darling in peter pan,peter pan,28.57142857142857,0.0
28,28,Which competitions did Fabrizio Donato win gold medal?,"Decomposition to subquestions-  
sq1. Identify the rows where Fabrizio Donato won a gold medal. (independent)  
sq2. Extract the competitions from the relevant rows. (depends on sq1)  

Answers:  
Answer to sq1: The relevant rows are:  
- 2001 | Mediterranean Games | Radès, Tunisia | 1st | 17.05 m  
- 2009 | European Indoor Championships | Turin, Italy | 1st | 17.59 m (iNR)  
- 2012 | European Championships | Helsinki, Finland | 1st | 17.63 m (w)  

Answer to sq2: Mediterranean Games, European Indoor Championships, European Championships.  

Final answer: Mediterranean Games, European Indoor Championships, European Championships.","Fabrizio Donato won gold medals at the 2001 Mediterranean Games with a record of 17.05 metres and the 2009 European Indoor Championships, a championship record of 17.59 metres.","Mediterranean Games, European Indoor Championships, European Championships
","fabrizio donato won gold medals at the 2001 mediterranean games with a record of 17.05 metres and the 2009 european indoor championships, a championship record of 17.59 metres","mediterranean games, european indoor championships, european championships",32.25806451612903,0.0
29,29,"Who did Wayne Kerrins play for in the third division, and what seasons did he play for them?","Decompose to subquestions-  
sq1. What teams did Wayne Kerrins play for in the Third Division? (independent)  
sq2. What seasons did Wayne Kerrins play for those teams in the Third Division? (depends on sq1)  

answers:  
Answer to sq1: Wayne Kerrins played for Fulham in the Third Division.  
Answer to sq2: He played for Fulham in the seasons 1986–87, 1987–88, and 1988–89.  

final_answer: Fulham, 1986–87, 1987–88, 1988–89.","Wayne Kerrins played for Fulham in the Third Division in 1986–87, 1987–88, and 1988–89.","Fulham, 1986–87, 1987–88, 1988–89 
","wayne kerrins played for fulham in the third division in 1986-87, 1987-88, and 1988-1989","fulham, 1986-87, 1987-88, 1988-1989",47.05882352941176,0.0
30,30,Which albums did Maylee Todd release on the Do Right Music label and in which years?,"Decompose to subquestions-
sq1. What albums did Maylee Todd release under the Do Right Music label? (independent)
sq2. What years correspond to those albums? (depends on sq1)

answers: |
  Answer to sq1: The albums released under the Do Right Music label are:
    - Choose Your Own Adventure
    - Do Right! Serato Pressing featuring Maylee Todd
    - Escapology
    - Acts Of Love
  Answer to sq2: The years corresponding to those albums are:
    - 2010
    - 2011
    - 2013
    - 2017
  
final_answer: Choose Your Own Adventure (2010), Do Right! Serato Pressing featuring Maylee Todd (2011), Escapology (2013), Acts Of Love (2017).",Maylee Todd released her first album Choose Your Own Adventure in 2010 and Escapology in 2013 on the Do Right Music label.,"Choose Your Own Adventure (2010), Do Right! Serato Pressing featuring Maylee Todd (2011), Escapology (2013), Acts Of Love (2017) 
",maylee todd released her first album choose your own adventure in 2010 and escapology in 2013 on the do right music label,"choose your own adventure (2010), do right! serato pressing featuring maylee todd (2011), escapology (2013), acts of love (2017)",55.000000000000014,0.0
31,31,What did Daniela Ramirez do in 2012?,"Decompose to subquestions- 
- sq1. What titles did Dania Ramirez appear in during 2012? (independent)
- sq2. What roles did Dania Ramirez play in those titles? (depends on sq1)
- sq3. Combine the titles and roles from sq1 and sq2 to give a complete answer. (depends on sq1, sq2)

answers: 
- Answer to sq1: The titles are American Reunion and Premium Rush.
- Answer to sq2: The roles are Selena in American Reunion and Vanessa in Premium Rush.
- Answer to sq3: In 2012, Dania Ramirez appeared in American Reunion as Selena and in Premium Rush as Vanessa.

final_answer: In 2012, Dania Ramirez appeared in American Reunion as Selena and in Premium Rush as Vanessa.","In 2012, Ramirez appeared in two roles: Selena in American Reunion and Vanessa in Premium Rush.","In 2012, Dania Ramirez appeared in American Reunion as Selena and in Premium Rush as Vanessa. 
","in 2012, ramirez appeared in 2 roles: selena in american reunion and vanessa in premium rush","in 2012, dania ramirez appeared in american reunion as selena and in premium rush as vanessa",81.25,0.0
