,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
10,10,What shows did Marisol Nichols appear in during 1996?,"Reasoning - To identify the shows Marisol Nichols appeared in during 1996, we need to look at the rows from the table where the year is '1996'. The relevant rows are:
1. 1996 | My Guys | Angela | TV Pilot
2. 1996 | Due South | Melissa | Episode: ""Some Like It Red""
3. 1996 | Beverly Hills, 90210 | Wendy Stevens | Episode: ""Ray of Hope""

From this information, the shows he appeared in during 1996 are ""My Guys,"" ""Due South,"" and ""Beverly Hills, 90210.""

Answer - [My Guys, Due South, Beverly Hills, 90210]","In 1996, Marisol Nichols appeared in My Guys, Due South, and Beverly Hills, 90210.","[My Guys, Due South, Beverly Hills, 90210] 
","in 1996, marisol nichols appeared in my guys, due south, and beverly hills, 90210","[my guys, due south, beverly hills, 90210]",66.66666666666666,0.0
11,11,How did the last two finishers perform in the Women's 800 metre freestyle?,"Reasoning - To determine how the last two finishers performed in the Women’s 800 metre freestyle, we need to look at the ranks and corresponding times of the competitors from the table provided. The last two finishers are Sarah Köhler (rank 8) and Lotte Friis (rank 7). Their times were 8:27.75 and 8:24.50 respectively. Therefore, Sarah Köhler finished last with a time of 8:27.75, while Lotte Friis finished second to last with a time of 8:24.50.

Answer - [8:24.50, 8:27.75]",Denmark's Lotte Friis recorded a time of 8:24.50 and Germany's Sarah Köhler recorded a time of 8:27.75 at the Olympics.,"[8:24.50, 8:27.75] 
",denmark's lotte friis recorded a time of 8:24.50 and germany's sarah köhler recorded a time of 8:27.75 at the olympics,"[8:24.50, 8:27.75]",21.052631578947366,0.0
12,12,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,"Reasoning - To assess the performance of the Unionist candidate, Robert McCalmont, we need to look at his votes and percentage of total votes in the East Antrim election. Robert McCalmont received 15,206 votes, which accounted for 94.6% of the total votes cast. This indicates a strong performance as he held a significant majority of the votes. Therefore, the Unionist candidate performed exceptionally well in this election.

Answer - ['15,206 votes', '94.6%']","The Unionist candidate had a victory by 15,206 votes to Sinn Féin's 861 votes.","15,206 votes, 94.6% 
","the unionist candidate had a victory by 15,206 votes to sinn féin's 861 votes","15,206 votes, 94.6%",26.666666666666668,0.0
13,13,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,"reason: To determine who finished 2nd at the 2014 Commonwealth Games and the time they achieved, we need to look for the relevant row from the table that lists the competition for that year. The row for the 2014 Commonwealth Games states that Adam Gemili finished 2nd in both the 100m and 4 × 100 m relay events, with times of 10.10 and 38.02 respectively. Therefore, the answer will include both events he placed second in.

answer: ['100m: 10.10', '4 × 100 m relay: 38.02']","In the 2014 Commonwealth Games, Gemili finished the 100m in second position with a time of 10.10 seconds.","['100m: 10.10', '4 × 100 m relay: 38.02'] 
","in the 2014 coonwealth games, gemili finished the 100m in second position with a time of 10.10 seconds","['100m: 10.10', '4 × 100 m relay: 38.02']",17.39130434782609,0.0
14,14,"When was ""I've Got a Feeling"" released?","Reasoning - ""I've Got a Feeling"" was released in the United States on October 7, 1997, in both promotional CD single and CD single formats. There is also a release mentioned for Australia in 1998. Therefore, the main release date of interest is October 7, 1997.

Answer - ['October 7, 1997', '1998']","""I've Got a Feeling"" was released, through Atlantic, in the United States on October 7, 1997 and in Australia in 1998.","['October 7, 1997', '1998'] 
","i've got a feeling was released, through atlantic, in the united states on october 7, 1997 and in australia in 1998","['october 7, 1997', '1998']",34.78260869565217,0.0
15,15,What and when were Tom Felton's first two roles?,"Reasoning -
To identify Tom Felton's first two roles, we need to look at the earliest entries in the ""Year"" column of the table. The first entry is from 1997, where he played ""Peagreen Clock"" in ""The Borrowers"", and the second entry is from 1999, where he played ""Louis T. Leonowens"" in ""Anna and the King"". Therefore, Tom Felton's first two roles were ""Peagreen Clock"" in ""The Borrowers"" in 1997, and ""Louis T. Leonowens"" in ""Anna and the King"" in 1999.

Answer - 
[['Peagreen Clock', 'The Borrowers', 1997], ['Louis T. Leonowens', 'Anna and the King', 1999]]",Tom Felton made his debut in the role of Peagreen Clock in The Borrowers in 1997 and portrayed Louis T. Leonowens in Anna and the King in 1999.,"['Peagreen Clock', 'The Borrowers', 1997], ['Louis T. Leonowens', 'Anna and the King', 1999] 
",tom felton made his debut in the role of peagreen clock in the borrowers in 1997 and portrayed louis t. leonowens in anna and the king in 1999,"['peagreen clock', 'the borrowers', 1997], ['louis t. leonowens', 'anna and the king', 1999]",61.111111111111114,0.0
16,16,What were the results of the 1990 Colorado gubernatorial election?,"Reasoning - To determine the results of the 1990 Colorado gubernatorial election, we should analyze the table's relevant rows, which detail the parties, candidates, votes received, and their respective percentages. The candidates were Roy Romer (Democratic), who received 626,032 votes (61.89%), John Andrews (Republican), who got 358,403 votes (35.43%), David Aitken (Libertarian) with 18,930 votes (1.87%), and David Livingston (Prohibition) with 7,907 votes (0.78%). The majority vote difference was 267,629, and the total turnout was 1,011,272. Therefore, the results indicate a Democratic hold with Roy Romer winning the election.

Answer - 
[
  {
    ""Party"": ""Democratic"",
    ""Candidate"": ""Roy Romer"",
    ""Votes"": 626032,
    ""Percentage"": ""61.89%""
  },
  {
    ""Party"": ""Republican"",
    ""Candidate"": ""John Andrews"",
    ""Votes"": 358403,
    ""Percentage"": ""35.43%""
  },
  {
    ""Party"": ""Libertarian"",
    ""Candidate"": ""David Aitken"",
    ""Votes"": 18930,
    ""Percentage"": ""1.87%""
  },
  {
    ""Party"": ""Prohibition"",
    ""Candidate"": ""David Livingston"",
    ""Votes"": 7907,
    ""Percentage"": ""0.78%""
  },
  {
    ""Majority Vote"": 267629,
    ""Turnout"": 1011272,
    ""Outcome"": ""Democratic hold""
  }
]","Democrat Roy Romer defeated Republican nominee, John Andrews with 61.89% of the vote.","Roy Romer won. 
","democrat roy romer defeated republican nominee, john andrews with 61.89% of the vote",roy romer won,26.666666666666668,0.0
17,17,"In the 86th United States Congress, What date was the end of Richard M. Simpson's service, and who was his successor?","Reasoning - To find the end date of Richard M. Simpson's service and who succeeded him, we look for the relevant row in the table concerning Pennsylvania's 18th District. According to the table, Richard M. Simpson died on January 7, 1960. His successor, Douglas H. Elliott (R), was installed on April 26, 1960. Thus, the end of Richard M. Simpson's service was on January 7, 1960, and his successor was Douglas H. Elliott.

Answer - ['January 7, 1960', Douglas H. Elliott]","In the 86th United States Congress, Richard M. Simpson (R) served until January 7, 1960 and was succeeded by Douglas H. Elliott (R) on April 26, 1960, who served until June 19, 1960.","['January 7, 1960', 'Douglas H. Elliott'] 
","in the 86 united states congress, richard m. simpson (r) served until january 7, 1960 and was succeeded by douglas h. elliott (r) on april 26, 1960, who served until june 19, 1960","['january 7, 1960', 'douglas h. elliott']",31.57894736842105,0.0
18,18,"What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively?","Reasoning - To determine the roles that Sandra Peabody played in ""Tarot"" and ""Annie Get Your Gun,"" we need to look at the relevant rows in the table. In the year 1970, she played the role of ""The Sun"" in ""Tarot."" In the years 1973-1974, she played the role of ""Minnie"" in ""Annie Get Your Gun."" Therefore, the roles were ""The Sun"" for ""Tarot"" and ""Minnie"" for ""Annie Get Your Gun.""

Answer - ['The Sun', 'Minnie']","Peabody appeared as The Sun in an Off-Broadway production of Tarot (1970), which she followed with the role as Minnie in Annie Get Your Gun (1973-1974).","['The Sun', 'Minnie'] 
",peabody appeared as the sun in an off-broadway production of tarot,"['the sun', 'minnie']",18.18181818181818,0.0
19,19,How close was Texas' 21st congressional district election?,"Reasoning - To determine how close Texas' 21st congressional district election was, we need to look at the vote counts for each candidate and calculate the difference between the leading candidate and the runner-up. The Republican candidate, Lamar Smith, received 169,924 votes, while the Democratic candidate, Lainey Melnick, received 65,834 votes. The difference in votes is 169,924 - 65,834 = 104,090 votes. Therefore, the election was decided by a margin of 104,090 votes in favor of the Republican candidate.

Answer - 104,090 votes","In the Texas's 21st congressional district election, Lamar Smith defeated Lainey Melnick with 68.9 percent of the vote, with a majority of 96929 votes.","104,090 votes 
","in the texas's 21 congressional district election, lamar smith defeated lainey melnick with 68.9 percent of the vote, with a majority of 96929 votes","104,090 votes",8.695652173913041,0.0
20,20,What are all the non-Leo awards for which Rickards received a solo nomination?,"Reasoning - To find the non-Leo awards for which Emily Bett Rickards received a solo nomination, we will look through the entries in the table and identify awards that are not Leo Awards and also indicate a solo nomination for her. The relevant rows are:

1. 2014 | Teen Choice Awards | Female Breakout Star | Emily Bett Rickards | Nominated | -
2. 2015 | Teen Choice Awards | Choice TV Actress - Fantasy/Sci-Fi | Emily Bett Rickards | Nominated | -
3. 2015 | Teen Choice Awards | Choice TV Liplock | Emily Bett Rickards & Stephen Amell | Nominated | - (not solo)
4. 2016 | Teen Choice Awards | Choice TV Actress - Fantasy/Sci-Fi | Emily Bett Rickards | Nominated | -
5. 2016 | Teen Choice Awards | Choice TV Liplock | Emily Bett Rickards and Stephen Amell | Nominated | - (not solo)
6. 2017 | Teen Choice Awards | Choice TV Actress - Action | Emily Bett Rickards | Nominated | -
7. 2018 | Teen Choice Awards | Choice TV Actress - Action | Emily Bett Rickards | Nominated | -
8. 2018 | Teen Choice Awards | Choice TV Ship | Emily Bett Rickards & Stephen Amell | Nominated | - (not solo)

From this analysis, the non-Leo awards for which Rickards received a solo nomination are:
- Teen Choice Awards (2014) - Female Breakout Star
- Teen Choice Awards (2015) - Choice TV Actress - Fantasy/Sci-Fi
- Teen Choice Awards (2016) - Choice TV Actress - Fantasy/Sci-Fi
- Teen Choice Awards (2017) - Choice TV Actress - Action
- Teen Choice Awards (2018) - Choice TV Actress - Action

Answer - [Female Breakout Star, Choice TV Actress - Fantasy/Sci-Fi, Choice TV Actress - Fantasy/Sci-Fi, Choice TV Actress - Action, Choice TV Actress - Action]","Rickards has been nominated for five Teen Choice Awards: four for Choice TV Actress in Fantasy, Sci-Fi, or Action, and one for Female Breakout Star in 2014.","[Female Breakout Star, Choice TV Actress - Fantasy/Sci-Fi, Choice TV Actress - Fantasy/Sci-Fi, Choice TV Actress - Action, Choice TV Actress - Action] 
","rickards has been nominated for 5 teen choice awards: 4 for choice tv actress in fantasy, sci-fi, or action, and 1 for female breakout star in 2014","[female breakout star, choice tv actress - fantasy/sci-fi, choice tv actress - fantasy/sci-fi, choice tv actress - action, choice tv actress - action]",34.78260869565217,0.0
21,21,What films did Aaron Taylor-Johnson appear in in 2017 and 2018?,"Reasoning - To determine the films Aaron Taylor-Johnson appeared in during 2017 and 2018, we need to look at the rows that correspond to those years. From the table, the relevant rows are:  
- **2017:** The Wall - Isaac  
- **2018:** Outlaw King - James Douglas, Lord of Douglas  
- **2018:** A Million Little Pieces - James Frey  
Therefore, the films Aaron Taylor-Johnson appeared in during 2017 and 2018 are The Wall, Outlaw King, and A Million Little Pieces.

Answer - [The Wall, Outlaw King, A Million Little Pieces]","In 2017, Aaron Taylor-Johnson appeared in Doug Liman's The Wall and, in 2018, appeared in Outlaw King as well as A milliom Little Pieces.","The Wall, Outlaw King, A Million Little Pieces 
","in 2017, aaron taylor-johnson appeared in doug liman's the wall and, in 2018, appeared in outlaw king as well as a milliom little pieces","the wall, outlaw king, a million little pieces",35.714285714285715,0.0
22,22,How many Best Actress Awards did Choi win in 1994 and where were they from?,"Reasoning - To determine how many Best Actress Awards Choi Myung-gil won in 1994 and where they were from, we need to look at the rows corresponding to the year 1994 in the table. In 1994, Choi won the following Best Actress Awards: 
1. Best Actress at the 15th Blue Dragon Film Awards for ""Rosy Life."" 
2. Best Actress at the 16th Three Continents Festival for ""Rosy Life."" 
3. Best Actress at the 5th Chunsa Film Art Awards for ""Rosy Life.""
Therefore, Choi won 3 Best Actress Awards in 1994 from the following events: the Blue Dragon Film Awards, the Three Continents Festival, and the Chunsa Film Art Awards.

Answer - [3, ['15th Blue Dragon Film Awards', '16th Three Continents Festival', '5th Chunsa Film Art Awards']]","Choi received 2 Best Actress awards for Rosy Life, one at the 16th Three Continents Festival and the other in the 15th Blue Dragon Film Awards.","3, ['15th Blue Dragon Film Awards', '16th Three Continents Festival', '5th Chunsa Film Art Awards'] 
","choi received 2 best actress awards for rosy life, 1 at the 16 3 continents festival and the other in the 15 blue dragon film awards","3, ['15 blue dragon film awards', '16 3 continents festival', '5 chunsa film art awards']",52.63157894736841,0.0
23,23,What year was Rosie Huntington-Whiteley most successful?,"Reasoning - To determine the year Rosie Huntington-Whiteley was most successful, we should look at the results of the awards she received in each year listed in the table. The relevant rows indicate that she won awards in the following years: 2009, 2011 (multiple awards), 2012, 2014, 2015, and 2016. In 2011 specifically, she won four awards, indicating it was her most successful year. 

Answer - 2011",In 2011 Rosie Huntington-Whiteley won 3 awards and was nominated for the Teen Choice Awards Choice Movie Actress: Summer award.,"2011 
",in 2011 rosie huntington-whiteley won 3 awards and was nominated for the teen choice awards choice movie actress: suer award,2011,10.0,0.0
24,24,Who were the top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles?,"Reasoning - To determine the top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles, we need to refer to the 'Rank' column of the table. The first two entries show the following finishers: 

1. Harrison Dillard (United States) with a time of 13.91 (OR - Olympic Record)
2. Jack Davis (United States) with a time of 14.00.

Therefore, the top 2 finishers are Harrison Dillard and Jack Davis. 

Answer - [Harrison Dillard, Jack Davis]",Automatic timing showed Dillard had a time of 13.91 and Davis recorded a time of 14.00.,"Harrison Dillard, Jack Davis 
",automatic timing showed dillard had a time of 13.91 and davis recorded a time of 14.00,"harrison dillard, jack davis",22.222222222222225,0.0
25,25,What movies and roles did Morris play in 1997?,"Reasoning - To identify the movies and roles Haviland Morris played in 1997, we need to examine the entries in the year '1997' from the provided table. The relevant rows for 1997 are: 

- 1997 | The Fifth Element | Korben Dallas's mother | Voice
- 1997 | Home Alone 3 | Karen Pruitt | -

Therefore, the roles Haviland Morris had in 1997 were Korben Dallas's mother and Karen Pruitt.

Answer - [Korben Dallas's mother, Karen Pruitt]",Morris played Korben Dallas's mother in The Fifth Element and Karen Pruitt in Home Alone 3 in 1997.,"['Korben Dallas's mother', 'Karen Pruitt'] 
",morris played korben dallas's mother in the fifth element and karen pruitt in home al1 3 in 1997,"['korben dallas's mother', 'karen pruitt']",45.45454545454545,0.0
26,26,Who received the silver and bronze medals for the women's 400 metres hurdles at the 1992 Summer Olympics?,"Reasoning - To determine who received the silver and bronze medals for the women's 400 metres hurdles at the 1992 Summer Olympics, we need to identify the athletes who finished in the second and third places in the final results. According to the table, the results are: 
1. Gold - Sally Gunnell (GBR)
2. Silver - Sandra Farmer-Patrick (USA)
3. Bronze - Janeene Vickers (USA)

Therefore, Sandra Farmer-Patrick won the silver medal, and Janeene Vickers won the bronze medal.

Answer - [Sandra Farmer-Patrick, Janeene Vickers]","Farmer-Patrick was in second, winning silver in 53.69 secs, while Vickers narrowly held on for the bronze medal from Ledovskaya, both being timed at 54.31 secs.","Sandra Farmer-Patrick, Janeene Vickers 
","farmer-patrick was in second, winning silver in 53.69 secs, while vickers narrowly held on for the bronze medal from ledovskaya, both being timed at 54.31 secs","sandra farmer-patrick, janeene vickers",13.793103448275865,0.0
27,27,What did Kathryn Beaumont star in 1953?,"Reasoning - To determine what Kathryn Beaumont starred in during 1953, we need to look for the row corresponding to the year 1953 in the table. The entry for that year is: 1953 | Peter Pan | Wendy Darling | Voice role. Therefore, in 1953, Kathryn Beaumont starred in ""Peter Pan"" as Wendy Darling in a voice role. 

Answer - [Peter Pan, Wendy Darling, Voice role]",Kathryn Beaumont starred in the voice role of Wendy Darling in Peter Pan (1953).,"Peter Pan 
",kathryn beaumont starred in the voice role of wendy darling in peter pan,peter pan,28.57142857142857,0.0
28,28,Which competitions did Fabrizio Donato win gold medal?,"Reasoning - To determine the competitions in which Fabrizio Donato won a gold medal, we need to look for rows in the table where the 'Position' column indicates a 1st place finish. The relevant row is from the Mediterranean Games in 2001, where he placed 1st with a distance of 17.05 m. Therefore, Fabrizio Donato won a gold medal at the Mediterranean Games.

Answer - [Mediterranean Games]","Fabrizio Donato won gold medals at the 2001 Mediterranean Games with a record of 17.05 metres and the 2009 European Indoor Championships, a championship record of 17.59 metres.","Mediterranean Games 
","fabrizio donato won gold medals at the 2001 mediterranean games with a record of 17.05 metres and the 2009 european indoor championships, a championship record of 17.59 metres",mediterranean games,15.384615384615385,0.0
29,29,"Who did Wayne Kerrins play for in the third division, and what seasons did he play for them?","Reasoning - To identify who Wayne Kerrins played for in the Third Division, we need to look specifically at the rows of the table that indicate ""Third Division"" under the ""Division"" column. There are two relevant entries: 
1. Season 1986–87 for Fulham where he made 30 appearances and scored 1 goal.
2. Season 1987–88 for Fulham once again, where he made 14 appearances but did not score.

Thus, Wayne Kerrins played for Fulham in the Third Division during the 1986–87 and 1987–88 seasons.

Answer - [Fulham, 1986–87, 1987–88]","Wayne Kerrins played for Fulham in the Third Division in 1986–87, 1987–88, and 1988–89.","[Fulham, 1986–87, 1987–88] 
","wayne kerrins played for fulham in the third division in 1986-87, 1987-88, and 1988-1989","[fulham, 1986-87, 1987-88]",37.5,0.0
30,30,Which albums did Maylee Todd release on the Do Right Music label and in which years?,"Reasoning - To determine the albums released by Maylee Todd on the Do Right Music label and the respective years, we need to look for entries in the table where the 'Label' column is ""Do Right Music."" The relevant rows are: 2010: Choose Your Own Adventure, 2011: Do Right! Serato Pressing featuring Maylee Todd, and 2013: Escapology. Therefore, the albums released by Maylee Todd on the Do Right Music label are ""Choose Your Own Adventure,"" ""Do Right! Serato Pressing featuring Maylee Todd,"" and ""Escapology,"" in the years 2010, 2011, and 2013.

Answer - [['Choose Your Own Adventure', 2010], ['Do Right! Serato Pressing featuring Maylee Todd', 2011], ['Escapology', 2013]]",Maylee Todd released her first album Choose Your Own Adventure in 2010 and Escapology in 2013 on the Do Right Music label.,"['Choose Your Own Adventure', 2010], ['Do Right! Serato Pressing featuring Maylee Todd', 2011], ['Escapology', 2013] 
",maylee todd released her first album choose your own adventure in 2010 and escapology in 2013 on the do right music label,"['choose your own adventure', 2010], ['do right! serato pressing featuring maylee todd', 2011], ['escapology', 2013]",61.11111111111111,0.0
31,31,What did Daniela Ramirez do in 2012?,"Reasoning - To determine what Daniela Ramirez did in 2012, we need to look at the rows corresponding to the year '2012' and extract the 'Title' and 'Role' from those rows. The relevant rows for 2012 are: 2012: American Reunion: Selena - 2012: Premium Rush: Vanessa. Therefore, in 2012, Daniela Ramirez had roles in two films: she played Selena in ""American Reunion"" and Vanessa in ""Premium Rush"". 

Answer - [Selena in American Reunion, Vanessa in Premium Rush]","In 2012, Ramirez appeared in two roles: Selena in American Reunion and Vanessa in Premium Rush.","[Selena in American Reunion, Vanessa in Premium Rush] 
","in 2012, ramirez appeared in 2 roles: selena in american reunion and vanessa in premium rush","[selena in american reunion, vanessa in premium rush]",66.66666666666666,0.0
32,32,What marathons did Feyisa Lilesa run in 2010?,"Reasoning - To determine what marathons Feyisa Lilesa ran in 2010, we need to look for the rows corresponding to the year 2010 in the table. The relevant rows are: 1) Xiamen International Marathon: 1st place, 2:08:47, and 2) Rotterdam Marathon: 4th place, 2:05:23, and 3) Chicago Marathon: 3rd place, 2:08:10. Thus, the marathons he participated in 2010 are the Xiamen International Marathon, the Rotterdam Marathon, and the Chicago Marathon.

Answer - [Xiamen International Marathon, Rotterdam Marathon, Chicago Marathon]","Feyisa Lilesa ran at the 2010 Chicago Marathon, at the 2010 Rotterdam Marathon, and at the Xiamen International Marathon.","Xiamen International Marathon, Rotterdam Marathon, Chicago Marathon 
","feyisa lilesa ran at the 2010 chicago marathon, at the 2010 rotterdam marathon, and at the xiamen international marathon","xiamen international marathon, rotterdam marathon, chicago marathon",60.86956521739131,0.0
33,33,"Which of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards, and when were they nominated?","Reasoning - To identify which of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards and when, we look for rows in the table that reference ""Best Modern Rock Album"" under the 'Category' column. The relevant rows indicate that ""Shines in the Dark"" was nominated in 2010 and ""Follow Your Heart"" was nominated in 2013. Therefore, the albums nominated for Best Modern Rock Album at the Korean Music Awards are ""Shines in the Dark"" in 2010 and ""Follow Your Heart"" in 2013. 

Answer - [['Shines in the Dark', 2010], ['Follow Your Heart', 2013]]",Two of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards: Shines in the Dark in 2010 and Follow Your Heart in 2013.,"[['Shines in the Dark', 2010], ['Follow Your Heart', 2013]] 
",2 of smacksoft's albums were nominated for best modern rock album at the korean music awards: shines in the dark in 2010 and follow your heart in 2013,"[['shines in the dark', 2010], ['follow your heart', 2013]]",47.05882352941176,0.0
