,Unnamed: 0,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
10,10,10,What shows did Marisol Nichols appear in during 1996?,"evidence: |
  The relevant rows contain information about Marisol Nichols' appearances in 1996:
  Year | Title | Role | Notes
  1996 | My Guys | Angela | TV Pilot
  1996 | Due South | Melissa | Episode: ""Some Like It Red""
  1996 | Beverly Hills, 90210 | Wendy Stevens | Episode: ""Ray of Hope""
answer: |
  In 1996, Marisol Nichols appeared in ""My Guys"" as Angela, ""Due South"" as Melissa, and ""Beverly Hills, 90210"" as Wendy Stevens.","In 1996, Marisol Nichols appeared in My Guys, Due South, and Beverly Hills, 90210.","""My Guys"", ""Due South"", ""Beverly Hills, 90210"" 
","in 1996, marisol nichols appeared in my guys, due south, and beverly hills, 90210","my guys, due south, beverly hills, 90210",66.66666666666666,0.0
11,11,11,How did the last two finishers perform in the Women's 800 metre freestyle?,"evidence: |
  The relevant rows contain information about the last two finishers in the Women's 800 metre freestyle final:
  Rank | Lane | Name | Nationality | Time | Notes
  8 | 1 | Sarah Köhler | Germany | 8:27.75 | -
  7 | 2 | Lotte Friis | Denmark | 8:24.50 | -
answer: |
  The last two finishers in the Women's 800 metre freestyle were Lotte Friis from Denmark, who finished 7th with a time of 8:24.50, and Sarah Köhler from Germany, who finished 8th with a time of 8:27.75.",Denmark's Lotte Friis recorded a time of 8:24.50 and Germany's Sarah Köhler recorded a time of 8:27.75 at the Olympics.,"Lotte Friis, Sarah Köhler 
",denmark's lotte friis recorded a time of 8:24.50 and germany's sarah köhler recorded a time of 8:27.75 at the olympics,"lotte friis, sarah köhler",38.095238095238095,0.0
12,12,12,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,"evidence: |
  The relevant row provides information about the performance of the Unionist candidate in the East Antrim election:
  Party | Candidate | Votes | % 
  Irish Unionist | Robert McCalmont | 15,206 | 94.6

answer: |
  In the East Antrim election in the 1910s, the Unionist candidate Robert McCalmont received 15,206 votes, amounting to 94.6% of the total votes cast.","The Unionist candidate had a victory by 15,206 votes to Sinn Féin's 861 votes.","Robert McCalmont, 94.6% 
","the unionist candidate had a victory by 15,206 votes to sinn féin's 861 votes","robert mccalmont, 94.6%",0.0,0.0
13,13,13,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,"evidence: |
  The relevant row contains information about Adam Gemili's performance at the 2014 Commonwealth Games:
  Year | Competition | Venue | Position | Event | Notes
  2014 | Commonwealth Games | Glasgow, Scotland | 2nd | 100m | 10.10
  2014 | Commonwealth Games | Glasgow, Scotland | 2nd | 4 × 100 m relay | 38.02
answer: |
  Adam Gemili finished 2nd in the 100m at the 2014 Commonwealth Games with a time of 10.10.","In the 2014 Commonwealth Games, Gemili finished the 100m in second position with a time of 10.10 seconds.","Adam Gemili, 10.10 
","in the 2014 coonwealth games, gemili finished the 100m in second position with a time of 10.10 seconds","adam gemili, 10.10",22.22222222222222,0.0
14,14,14,"When was ""I've Got a Feeling"" released?","evidence: |
  The relevant rows contain information about the release dates for ""I've Got a Feeling"":
  Region | Date | Format | Label
  United States | October 7, 1997 | Promotional CD single | Atlantic
  United States | October 7, 1997 | CD single | Atlantic
  Australia | 1998 | CD single | Atlantic
answer: |
  ""I've Got a Feeling"" was released on October 7, 1997 in the United States, and in 1998 in Australia.","""I've Got a Feeling"" was released, through Atlantic, in the United States on October 7, 1997 and in Australia in 1998.","October 7, 1997, 1998 
","i've got a feeling was released, through atlantic, in the united states on october 7, 1997 and in australia in 1998","october 7, 1997, 1998",34.78260869565217,0.0
15,15,15,What and when were Tom Felton's first two roles?,"evidence: |
  The relevant rows contain information about Tom Felton's first two roles:
  Year | Title | Role | Notes
  1997 | The Borrowers | Peagreen Clock | -
  1999 | Anna and the King | Louis T. Leonowens | -
answer: |
  Tom Felton's first role was as Peagreen Clock in ""The Borrowers"" in 1997, and his second role was as Louis T. Leonowens in ""Anna and the King"" in 1999.",Tom Felton made his debut in the role of Peagreen Clock in The Borrowers in 1997 and portrayed Louis T. Leonowens in Anna and the King in 1999.,"Peagreen Clock, Louis T. Leonowens 
",tom felton made his debut in the role of peagreen clock in the borrowers in 1997 and portrayed louis t. leonowens in anna and the king in 1999,"peagreen clock, louis t. leonowens",33.333333333333336,0.0
16,16,16,What were the results of the 1990 Colorado gubernatorial election?,"evidence: |
  The relevant rows contain information about the results of the 1990 Colorado gubernatorial election:
  Party | Candidate | Votes | % | ±
  Democratic | Roy Romer | 626,032 | 61.89%
  Republican | John Andrews | 358,403 | 35.43%
  Libertarian | David Aitken | 18,930 | 1.87%
  Prohibition | David Livingston | 7,907 | 0.78%
  Majority | 267,629 | - | -
  Turnout | 1,011,272 | - | -
answer: |
  In the 1990 Colorado gubernatorial election, Roy Romer (Democratic) received 626,032 votes (61.89%), John Andrews (Republican) received 358,403 votes (35.43%), David Aitken (Libertarian) received 18,930 votes (1.87%), and David Livingston (Prohibition) received 7,907 votes (0.78%). The total turnout was 1,011,272.","Democrat Roy Romer defeated Republican nominee, John Andrews with 61.89% of the vote.","Roy Romer won with 61.89% of the vote. 
","democrat roy romer defeated republican nominee, john andrews with 61.89% of the vote",roy romer won with 61.89% of the vote,63.1578947368421,0.0
17,17,17,"In the 86th United States Congress, What date was the end of Richard M. Simpson's service, and who was his successor?","evidence: |
  The relevant row contains information about the end of Richard M. Simpson's service and his successor:
  District | Vacator | Reason for change | Successor | Date of successor's formal installation
  Pennsylvania 18th | Richard M. Simpson (R) | Died January 7, 1960 | Douglas H. Elliott (R) | April 26, 1960
answer: |
  Richard M. Simpson's service ended on January 7, 1960, and his successor was Douglas H. Elliott, who was formally installed on April 26, 1960.","In the 86th United States Congress, Richard M. Simpson (R) served until January 7, 1960 and was succeeded by Douglas H. Elliott (R) on April 26, 1960, who served until June 19, 1960.","January 7, 1960, Douglas H. Elliott 
","in the 86 united states congress, richard m. simpson (r) served until january 7, 1960 and was succeeded by douglas h. elliott (r) on april 26, 1960, who served until june 19, 1960","january 7, 1960, douglas h. elliott",31.57894736842105,0.0
18,18,18,"What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively?","evidence: |
  The relevant rows contain information about Sandra Peabody's roles:
  Year | Title | Role | Notes
  1970 | Tarot | The Sun | Off-Broadway
  1973-1974 | Annie Get Your Gun | Minnie | Shady Grove Music Fair
answer: |
  In Tarot, Sandra Peabody played the role of The Sun, and in Annie Get Your Gun, she played the role of Minnie.","Peabody appeared as The Sun in an Off-Broadway production of Tarot (1970), which she followed with the role as Minnie in Annie Get Your Gun (1973-1974).","The Sun, Minnie 
",peabody appeared as the sun in an off-broadway production of tarot,"the sun, minnie",18.18181818181818,0.0
19,19,19,How close was Texas' 21st congressional district election?,"evidence: |
  The relevant rows contain information about the election results in Texas's 21st congressional district:
  Party | Candidate | Votes | % | ±
  - | Republican | Lamar Smith | 169,924 | 68.9 | 11.09
  - | Democratic | Lainey Melnick | 65,834 | 27.9 | +3.39
  - | Libertarian | James Arthur Strohm | 7,687 | 3.3 | 16.7
  
  The majority was 10...9, with a total turnout of 236,284.

answer: |
  The election in Texas's 21st congressional district was close, with Lamar Smith (Republican) winning 68.9% of the votes against Lainey Melnick (Democrat) who received 27.9%. The majority was 10...9 votes with a total turnout of 236,284.","In the Texas's 21st congressional district election, Lamar Smith defeated Lainey Melnick with 68.9 percent of the vote, with a majority of 96929 votes.","10...9 
","in the texas's 21 congressional district election, lamar smith defeated lainey melnick with 68.9 percent of the vote, with a majority of 96929 votes",10...9,0.0,0.0
20,20,20,What are all the non-Leo awards for which Rickards received a solo nomination?,"The relevant rows contain information about Emily Bett Rickards' non-Leo award nominations:

- Year | Award | Category | Nominee | Result
- 2014 | Teen Choice Awards | Female Breakout Star | Emily Bett Rickards | Nominated
- 2015 | MTV Fandom Awards | Ship of the Year | Emily Bett Rickards & Stephen Amell | Won (not solo)
- 2015 | Teen Choice Awards | Choice TV Actress - Fantasy/Sci-Fi | Emily Bett Rickards | Nominated
- 2015 | Teen Choice Awards | Choice TV Liplock | Emily Bett Rickards & Stephen Amell | Nominated (not solo)
- 2016 | MTV Fandom Awards | Ship of the Year | Emily Bett Rickards & Stephen Amell | Won (not solo)
- 2016 | Teen Choice Awards | Choice TV Actress - Fantasy/Sci-Fi | Emily Bett Rickards | Nominated
- 2016 | Teen Choice Awards | Choice TV Liplock | Emily Bett Rickards and Stephen Amell | Nominated (not solo)
- 2017 | Teen Choice Awards | Choice TV Actress - Action | Emily Bett Rickards | Nominated
- 2018 | Teen Choice Awards | Choice TV Actress - Action | Emily Bett Rickards | Nominated 

Based on this evidence, the non-Leo awards for which Emily Bett Rickards received a solo nomination are:

- Teen Choice Awards, Female Breakout Star (2014)
- Teen Choice Awards, Choice TV Actress - Fantasy/Sci-Fi (2015)
- Teen Choice Awards, Choice TV Actress - Fantasy/Sci-Fi (2016)
- Teen Choice Awards, Choice TV Actress - Action (2017)
- Teen Choice Awards, Choice TV Actress - Action (2018)

Thus, all non-Leo awards for which she received a solo nomination are listed as follows:

answer: |
  Emily Bett Rickards received solo nominations for the following non-Leo awards:
  - Teen Choice Awards, Female Breakout Star (2014)
  - Teen Choice Awards, Choice TV Actress - Fantasy/Sci-Fi (2015)
  - Teen Choice Awards, Choice TV Actress - Fantasy/Sci-Fi (2016)
  - Teen Choice Awards, Choice TV Actress - Action (2017)
  - Teen Choice Awards, Choice TV Actress - Action (2018)","Rickards has been nominated for five Teen Choice Awards: four for Choice TV Actress in Fantasy, Sci-Fi, or Action, and one for Female Breakout Star in 2014.","- Teen Choice Awards, Female Breakout Star
- Teen Choice Awards, Choice TV Actress - Fantasy/Sci-Fi 
- Teen Choice Awards, Choice TV Actress - Action 
","rickards has been nominated for 5 teen choice awards: 4 for choice tv actress in fantasy, sci-fi, or action, and 1 for female breakout star in 2014","- teen choice awards, female breakout star- teen choice awards, choice tv actress - fantasy/sci-fi - teen choice awards, choice tv actress - action",42.5531914893617,0.0
21,21,21,What films did Aaron Taylor-Johnson appear in in 2017 and 2018?,"evidence: |
  The relevant rows contain information about Aaron Taylor-Johnson's films in 2017 and 2018:
  Year | Title | Role | Director | Notes
  2017 | The Wall | Isaac | Doug Liman | -
  2018 | Outlaw King | James Douglas, Lord of Douglas | David Mackenzie | -
  2018 | A Million Little Pieces | James Frey | Sam Taylor-Johnson | -
answer: |
  In 2017, Aaron Taylor-Johnson appeared in The Wall, and in 2018 he appeared in Outlaw King and A Million Little Pieces.","In 2017, Aaron Taylor-Johnson appeared in Doug Liman's The Wall and, in 2018, appeared in Outlaw King as well as A milliom Little Pieces.","'The Wall', 'Outlaw King', 'A Million Little Pieces' 
","in 2017, aaron taylor-johnson appeared in doug liman's the wall and, in 2018, appeared in outlaw king as well as a milliom little pieces","the wall', 'outlaw king', 'a million little pieces",35.714285714285715,0.0
22,22,22,How many Best Actress Awards did Choi win in 1994 and where were they from?,"evidence: |
  The relevant rows contain information about Choi Myung-gil's Best Actress Awards in 1994:
  Year | Award | Category | Nominated work | Result
  1994 | 16th Three Continents Festival | Best Actress | Rosy Life | Won
  1994 | 15th Blue Dragon Film Awards | Best Actress | Rosy Life | Won
  1994 | 5th Chunsa Film Art Awards | Special Jury Prize | Rosy Life | Won
  1994 | SBS Drama Awards | Grand Prize (Daesang) | Marriage | Won
answer: |
  In 1994, Choi Myung-gil won 2 Best Actress Awards: one from the 16th Three Continents Festival and one from the 15th Blue Dragon Film Awards.","Choi received 2 Best Actress awards for Rosy Life, one at the 16th Three Continents Festival and the other in the 15th Blue Dragon Film Awards.","2 
","choi received 2 best actress awards for rosy life, 1 at the 16 3 continents festival and the other in the 15 blue dragon film awards",2,8.333333333333332,0.0
23,23,23,What year was Rosie Huntington-Whiteley most successful?,"evidence: |
  The relevant rows contain information about Rosie Huntington-Whiteley's awards won in 2011:
  Year | Award | Category | Nominated work | Result
  2011 | Glamour Awards | Editor's Special Award | Herself | Won
  2011 | Guys Choice | Our New Girlfriend | Herself | Won
  2011 | CinemaCon Awards | Female Star of Tomorrow | Herself | Won
  
  In total, Rosie won three awards in 2011.
answer: |
  Rosie Huntington-Whiteley was most successful in 2011, winning three awards: Glamour Awards for Editor's Special Award, Guys Choice for Our New Girlfriend, and CinemaCon Awards for Female Star of Tomorrow.",In 2011 Rosie Huntington-Whiteley won 3 awards and was nominated for the Teen Choice Awards Choice Movie Actress: Summer award.,"2011 
",in 2011 rosie huntington-whiteley won 3 awards and was nominated for the teen choice awards choice movie actress: suer award,2011,10.0,0.0
24,24,24,Who were the top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles?,"evidence: |
  The relevant rows contain information about the finishers in the Men's 110 metres hurdles at the 1952 Summer Olympics:
  Rank | Name | Nationality | Time (automatic) | Notes
  - | Harrison Dillard | United States | 13.91 | OR
  - | Jack Davis | United States | 14.00 | -
answer: |
  The top 2 finishers in the 1952 Summer Olympics – Men's 110 metres hurdles were Harrison Dillard, who finished 1st, and Jack Davis, who finished 2nd.",Automatic timing showed Dillard had a time of 13.91 and Davis recorded a time of 14.00.,"Harrison Dillard, Jack Davis 
",automatic timing showed dillard had a time of 13.91 and davis recorded a time of 14.00,"harrison dillard, jack davis",22.222222222222225,0.0
25,25,25,What movies and roles did Morris play in 1997?,"evidence: |
  The relevant rows contain information about Haviland Morris's roles in 1997:
  Year | Title | Role | Notes
  1997 | The Fifth Element | Korben Dallas's mother | Voice
  1997 | Home Alone 3 | Karen Pruitt | -
answer: |
  In 1997, Haviland Morris played Korben Dallas's mother (voice) in The Fifth Element and Karen Pruitt in Home Alone 3.",Morris played Korben Dallas's mother in The Fifth Element and Karen Pruitt in Home Alone 3 in 1997.,"'The Fifth Element', 'Home Alone 3' 
",morris played korben dallas's mother in the fifth element and karen pruitt in home al1 3 in 1997,"the fifth element', 'home al1 3",45.45454545454545,0.0
26,26,26,Who received the silver and bronze medals for the women's 400 metres hurdles at the 1992 Summer Olympics?,"evidence: |
  The relevant rows contain information about the final results for the women's 400 metres hurdles at the 1992 Summer Olympics:
  RANK | FINAL | TIME
  - | Sandra Farmer-Patrick (USA) | 53.69
  - | Janeene Vickers (USA) | 54.31
answer: |
  Sandra Farmer-Patrick received the silver medal and Janeene Vickers received the bronze medal for the women's 400 metres hurdles at the 1992 Summer Olympics.","Farmer-Patrick was in second, winning silver in 53.69 secs, while Vickers narrowly held on for the bronze medal from Ledovskaya, both being timed at 54.31 secs.","Sandra Farmer-Patrick, Janeene Vickers 
","farmer-patrick was in second, winning silver in 53.69 secs, while vickers narrowly held on for the bronze medal from ledovskaya, both being timed at 54.31 secs","sandra farmer-patrick, janeene vickers",13.793103448275865,0.0
27,27,27,What did Kathryn Beaumont star in 1953?,"evidence: |
  The relevant row contains information about Kathryn Beaumont's work in 1953:
  Year | Title | Role | Notes
  1953 | Peter Pan | Wendy Darling | Voice role
answer: |
  In 1953, Kathryn Beaumont starred as Wendy Darling in Peter Pan.",Kathryn Beaumont starred in the voice role of Wendy Darling in Peter Pan (1953).,"Peter Pan 
",kathryn beaumont starred in the voice role of wendy darling in peter pan,peter pan,28.57142857142857,0.0
28,28,28,Which competitions did Fabrizio Donato win gold medal?,"evidence: |
  The relevant rows contain information about Fabrizio Donato's gold medal wins:
  Year | Competition | Venue | Position | Notes
  2001 | Mediterranean Games | Radès, Tunisia | 1st | 17.05 m
  2009 | European Indoor Championships | Turin, Italy | 1st | 17.59 m (iNR)
  2012 | European Championships | Helsinki, Finland | 1st | 17.63 m (w)
answer: |
  Fabrizio Donato won gold medals at the 2001 Mediterranean Games, the 2009 European Indoor Championships, and the 2012 European Championships.","Fabrizio Donato won gold medals at the 2001 Mediterranean Games with a record of 17.05 metres and the 2009 European Indoor Championships, a championship record of 17.59 metres.","Mediterranean Games, European Indoor Championships, European Championships 
","fabrizio donato won gold medals at the 2001 mediterranean games with a record of 17.05 metres and the 2009 european indoor championships, a championship record of 17.59 metres","mediterranean games, european indoor championships, european championships",32.25806451612903,0.0
29,29,29,"Who did Wayne Kerrins play for in the third division, and what seasons did he play for them?","evidence: |
  The relevant rows contain information about Wayne Kerrins' appearances in the Third Division:
  Club | Season | Division | Apps | Goals
  Fulham | 1986–87 | Third Division | 30 | 1
  Fulham | 1987–88 | Third Division | 14 | 0
  Fulham | 1988–89 | Third Division | 4 | 0
answer: |
  Wayne Kerrins played for Fulham in the Third Division during the 1986–87, 1987–88, and 1988–89 seasons.","Wayne Kerrins played for Fulham in the Third Division in 1986–87, 1987–88, and 1988–89.","Fulham, 1986–87, 1987–88, 1988–89 
","wayne kerrins played for fulham in the third division in 1986-87, 1987-88, and 1988-1989","fulham, 1986-87, 1987-88, 1988-1989",47.05882352941176,0.0
30,30,30,Which albums did Maylee Todd release on the Do Right Music label and in which years?,"evidence: |
  The relevant rows contain information about Maylee Todd's albums released on the Do Right Music label:
  Year | Title | Label | Format
  2010 | Choose Your Own Adventure | Do Right Music | CD
  2011 | Do Right! Serato Pressing featuring Maylee Todd | Do Right Music | 12"" vinyl & digital download
  2013 | Escapology | Do Right Music | CD, LP
  2017 | Acts Of Love | Do Right Music | CD, LP
answer: |
  Maylee Todd released the following albums on the Do Right Music label: ""Choose Your Own Adventure"" in 2010, ""Do Right! Serato Pressing featuring Maylee Todd"" in 2011, ""Escapology"" in 2013, and ""Acts Of Love"" in 2017.",Maylee Todd released her first album Choose Your Own Adventure in 2010 and Escapology in 2013 on the Do Right Music label.,"""Choose Your Own Adventure"" (2010), ""Do Right! Serato Pressing featuring Maylee Todd"" (2011), ""Escapology"" (2013), ""Acts Of Love"" (2017) 
",maylee todd released her first album choose your own adventure in 2010 and escapology in 2013 on the do right music label,"choose your own adventure (2010), do right! serato pressing featuring maylee todd (2011), escapology (2013), acts of love (2017)",55.000000000000014,0.0
31,31,31,What did Daniela Ramirez do in 2012?,"evidence: |
  The relevant rows contain information about Dania Ramirez's roles in 2012:
  Year | Title | Role | Notes
  2012 | American Reunion | Selena | -
  2012 | Premium Rush | Vanessa | -
answer: |
  In 2012, Dania Ramirez acted as Selena in ""American Reunion"" and as Vanessa in ""Premium Rush.""","In 2012, Ramirez appeared in two roles: Selena in American Reunion and Vanessa in Premium Rush.","Selena in ""American Reunion"" and Vanessa in ""Premium Rush"" 
","in 2012, ramirez appeared in 2 roles: selena in american reunion and vanessa in premium rush",selena in american reunion and vanessa in premium rush,72.0,0.0
32,32,32,What marathons did Feyisa Lilesa run in 2010?,"evidence: |
  The relevant rows contain information about Feyisa Lilesa's marathon participation in 2010:
  Year | Competition | Venue | Position | Event | Notes
  2010 | Xiamen International Marathon | Xiamen, China | 1st | Marathon | 2:08:47
  2010 | Rotterdam Marathon | Rotterdam, Netherlands | 4th | Marathon | 2:05:23
  2010 | Chicago Marathon | Chicago, United States | 3rd | Marathon | 2:08:10
answer: |
  In 2010, Feyisa Lilesa ran in the Xiamen International Marathon (1st place), the Rotterdam Marathon (4th place), and the Chicago Marathon (3rd place).","Feyisa Lilesa ran at the 2010 Chicago Marathon, at the 2010 Rotterdam Marathon, and at the Xiamen International Marathon.","Xiamen International Marathon, Rotterdam Marathon, Chicago Marathon 
","feyisa lilesa ran at the 2010 chicago marathon, at the 2010 rotterdam marathon, and at the xiamen international marathon","xiamen international marathon, rotterdam marathon, chicago marathon",60.86956521739131,0.0
33,33,33,"Which of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards, and when were they nominated?","evidence: |
  The relevant rows contain information about Smacksoft's nominations for Best Modern Rock Album at the Korean Music Awards:
  Year | Award | Category | Nominated work | Result
  2010 | Korean Music Awards | Best Modern Rock Album | Shines in the Dark | Nominated
  2013 | Korean Music Awards | Best Modern Rock Album | Follow Your Heart | Nominated
answer: |
  Smacksoft's albums ""Shines in the Dark"" and ""Follow Your Heart"" were nominated for Best Modern Rock Album at the Korean Music Awards in 2010 and 2013, respectively.",Two of Smacksoft's albums were nominated for Best Modern Rock Album at the Korean Music Awards: Shines in the Dark in 2010 and Follow Your Heart in 2013.,"""Shines in the Dark"" (2010), ""Follow Your Heart"" (2013) 
",2 of smacksoft's albums were nominated for best modern rock album at the korean music awards: shines in the dark in 2010 and follow your heart in 2013,"shines in the dark (2010), follow your heart (2013)",47.05882352941176,0.0
