Unnamed: 0.1,Unnamed: 0,index,question,response,answer,extracted_code,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
14,14,14,what was the percentage change in the commercial mortgage loans designated for sale at fair value from 2008 to 2009,"```python
# 1. What was the commercial mortgages at fair value in 2008? (independent, support=[in millions | december 312012 | december 312011])
commercial_mortgages_fair_value_2008 = 772
# 2. What was the commercial mortgages at fair value in 2009? (independent, support=[in millions | december 312012 | december 312011])
commercial_mortgages_fair_value_2009 = 843
# 3. What was the percentage change in the commercial mortgage loans designated for sale at fair value from 2008 to 2009? (depends on 1 and 2, support=[])
percentage_change = ((commercial_mortgages_fair_value_2009 - commercial_mortgages_fair_value_2008) / commercial_mortgages_fair_value_2008) * 100
print(percentage_change)
#DONE
```",-8.4%,2,"9.196891191709843
",-0.084,9.196891191709843,0.0,0.0
15,15,15,"what was the difference in percentage cumulative 5-year total shareholder return on common stock fidelity national information services , inc . compared to the s&p 500 for the period ending 12/16?","```python
# 1. What was the total shareholder return on common stock for fidelity national information services inc. in 2011?
fis_2011 = 100.00  # in dollars (independent, support=[fidelity national information services inc.| 100.00 | 134.12 | 210.97 | 248.68 | 246.21 | 311.81])
# 2. What was the total shareholder return on common stock for fidelity national information services inc. in 2016?
fis_2016 = 311.81  # in dollars (independent, support=[fidelity national information services inc.| 100.00 | 134.12 | 210.97 | 248.68 | 246.21 | 311.81])
# 3. What was the total shareholder return on common stock for s&p 500 in 2011?
sp500_2011 = 100.00  # in dollars (independent, support=[- | 12/11 | 12/12 | 12/13 | 12/14 | 12/15 | 12/16])
# 4. What was the total shareholder return on common stock for s&p 500 in 2016?
sp500_2016 = 198.18  # in dollars (independent, support=[- | 12/11 | 12/12 | 12/13 | 12/14 | 12/15 | 12/16])
# 5. What was the difference in percentage cumulative 5-year total shareholder return on common stock fidelity national information services inc. compared to the s&p 500 for the period ending 12/16?
diff_percent = ((fis_2016 - fis_2011) - (sp500_2016 - sp500_2011)) / sp500_2011 * 100
print(diff_percent)
#DONE
```",113.63%,2,"113.62999999999998
",1.1362999999999999,1.1362999999999999,100.0,100.0
16,16,16,for the quarter ended march 312015 what was the percentage change in the share price from the highest to the lowest,"```python
# 1. What was the high price for the quarter ended march 31 in 2015?
high_price_march_31_2015 = 101.88  # in dollars (independent, support=[quarter ended march 31 | $ 102.93 | $ 83.07, quarter ended march 31 | $ 101.88 | $ 93.21])

# 2. What was the low price for the quarter ended march 31 in 2015?
low_price_march_31_2015 = 93.21  # in dollars (independent, support=[quarter ended march 31 | $ 102.93 | $ 83.07, quarter ended march 31 | $ 101.88 | $ 93.21])

# 3. What was the percentage change in the share price from the highest to the lowest for the quarter ended march 31, 2015?
percentage_change = ((high_price_march_31_2015 - low_price_march_31_2015) / high_price_march_31_2015) * 100
print(percentage_change)
#DONE
```",9.3%,2,"8.510011778563017
",0.09300000000000001,8.510011778563017,0.0,0.0
17,17,17,as of december 2007 what was the ratio of the square footage in alpharetta georgia to charlotte north carolina,"```python
# 1. What was the approximate square footage in Alpharetta, Georgia in December 2007? (independent, support=[location | approximate square footage])
square_footage_alpharetta = 219000

# 2. What was the approximate square footage in Charlotte, North Carolina in December 2007? (independent, support=[location | approximate square footage])
square_footage_charlotte = 83000

# 3. What is the ratio of the square footage in Alpharetta, Georgia to Charlotte, North Carolina as of December 2007? (depends on 1 and 2, support=[])
ratio = square_footage_alpharetta / square_footage_charlotte
print(ratio)
#DONE
```",2.64,2,"2.63855421686747
",2.64,2.64,100.0,100.0
18,18,18,in 2010 what was the percent of the income tax benefit to the stock based compensation cost,"```python
# Subquestions:
# 1. What was the share-based compensation cost in 2010?
share_based_compensation_cost_2010 = 18.1
# 2. What was the income tax benefit in 2010?
income_tax_benefit_2010 = -6.3
# 3. What was the percent of income tax benefit to the stock-based compensation cost in 2010?
percent_income_tax_to_compensation = (income_tax_benefit_2010 / share_based_compensation_cost_2010) * 100
print(percent_income_tax_to_compensation)
#DONE
```",34.8%,2,"-34.80662983425414
",0.348,-34.80662983425414,0.0,0.0
19,19,19,what is the percentage change in the the gross liability for unrecognized tax benefits during 2008 compare to 2007?,"```python
# 1. What is the beginning balance in 2007? (independent, support=[beginning balance as of december 1 2007 | $ 201808, ending balance as of november 28 2008 | $ 139549])
beginning_balance_2007 = 201808

# 2. What is the ending balance in 2008? (independent, support=[beginning balance as of december 1 2007 | $ 201808, ending balance as of november 28 2008 | $ 139549])
ending_balance_2008 = 139549

# 3. What are the gross increases in unrecognized tax benefits for prior year tax positions in 2008? (independent, support=[gross increases in unrecognized tax benefits 2013 prior year tax positions | 14009])
gross_increases_prior_year_2008 = 14009

# 4. What are the gross increases in unrecognized tax benefits for current year tax positions in 2008? (independent, support=[gross increases in unrecognized tax benefits 2013 current year tax positions | 11350])
gross_increases_current_year_2008 = 11350

# 5. What are the settlements with taxing authorities in 2008? (independent, support=[settlements with taxing authorities | -81213 ( 81213 )])
settlements_2008 = -81213

# 6. What is the total change in unrecognized tax benefits during 2008? (depends on 1, 2, 3, 4, 5, support=[])
total_change = (beginning_balance_2007 + gross_increases_prior_year_2008 + gross_increases_current_year_2008 + settlements_2008) - ending_balance_2008

# 7. What is the percentage change in the gross liability for unrecognized tax benefits during 2008 compared to 2007? (depends on 1, 2, 6, support=[])
percent_change = (total_change / beginning_balance_2007) * 100

print(percent_change)
#DONE
```",-30.9%,2,"3.1738087687306744
",-0.309,3.1738087687306744,0.0,0.0
20,20,20,what was the total impairment costs recorded from 2003 to 2005 in millions,"```python
# To calculate the total impairment costs recorded from 2003 to 2005, we need to sum the impairment costs for each year.

# 1. What was the impairment cost recorded in 2003? (independent, support=[lifo reserves decreased $ 0.5 million and $ 0.2 million in 2005 and 2004 , respectively , and increased $ 0.7 million in 2003])
impairment_cost_2003 = 0.7  # in million dollars

# 2. What was the impairment cost recorded in 2004? (independent, support=[lifo reserves decreased $ 0.5 million and $ 0.2 million in 2005 and 2004 , respectively , and increased $ 0.7 million in 2003])
impairment_cost_2004 = 0.2  # in million dollars

# 3. What was the impairment cost recorded in 2005? (independent, support=[lifo reserves decreased $ 0.5 million and $ 0.2 million in 2005 and 2004 , respectively , and increased $ 0.7 million in 2003])
impairment_cost_2005 = 0.5  # in million dollars

# 4. What is the total impairment costs recorded from 2003 to 2005? (depends on 1, 2, and 3, support=[])
total_impairment_costs = impairment_cost_2003 + impairment_cost_2004 + impairment_cost_2005
print(total_impairment_costs)
#DONE
```  ",5.8,2,"1.4
",5.8,1.4,0.0,0.0
21,21,21,"what is the borrowing under the term loan facility as a percentage of the total contractual maturities of long-term debt obligations due subsequent to december 31 , 2016?","```python
# 1. What is the borrowing under the term loan facility at December 31, 2016? (independent, support=[at december 31 , 2016 , we had $ 3081 outstanding on the term loan and zero outstanding on the revolving facility])
term_loan_outstanding = 3081

# 2. What is the total contractual maturities of long-term debt obligations due subsequent to December 31, 2016? (independent, support=[the contractual maturities of our long-term debt obligations due subsequent to December 31, 2016 are as follows:...])
total_contractual_maturities = 2014 + 150 + 175 + 2756

# 3. Calculate the borrowing under the term loan facility as a percentage of the total contractual maturities. (depends on 1 and 2, support=[])
percentage_term_loan = (term_loan_outstanding / total_contractual_maturities) * 100
print(percentage_term_loan)
# DONE
```",114%,2,"60.471050049067706
",1.14,60.471050049067706,0.0,0.0
22,22,22,in 2015 what was the percent of the total operating revenues associated with agriculture products,"```python
# 1. What was the total operating revenues in 2015?
total_operating_revenues_2015 = 21813  # in millions (independent, support=[total operating revenues | $ 21813 | $ 23988 | $ 21963])

# 2. What was the revenue associated with agricultural products in 2015?
agricultural_revenues_2015 = 3581  # in millions (independent, support=[millions | 2015 | 2014 | 2013])

# 3. What was the percentage of total operating revenues associated with agriculture products in 2015?
percent_agriculture_2015 = (agricultural_revenues_2015 / total_operating_revenues_2015) * 100

print(percent_agriculture_2015)
#DONE
```",16.4%,2,"16.416815660386007
",0.16399999999999998,0.16399999999999998,100.0,100.0
23,23,23,what percent of net interest revenue where total operating expenses in 2009?,"```python
# 1. What is the net interest revenue in 2009?
net_interest_2009 = 3173  # in millions of dollars (independent, support=[in millions of dollars | 2009 | 2008 | 2007 | % ( % ) change 2009 vs . 2008 | % ( % ) change 2008 vs . 2007])
# 2. What are the total operating expenses in 2009?
total_expenses_2009 = 896  # in millions of dollars (independent, support=[in millions of dollars | 2009 | 2008 | 2007 | % ( % ) change 2009 vs . 2008 | % ( % ) change 2008 vs . 2007])
# 3. What percent of net interest revenue were total operating expenses in 2009?
percent_expenses_2009 = (total_expenses_2009 / net_interest_2009) * 100
print(percent_expenses_2009)
# DONE
```",28%,2,"28.238260321462338
",0.28,0.28,100.0,100.0
24,24,24,in 2018 what was the percent of the cib markets net interest income as part of the managed interest income,"```python
# Calculate the percentage of the cib markets net interest income as part of the managed interest income for 2018

# 1. Define the values for cib markets net interest income and net interest income on a managed basis for 2018
cib_markets_net_interest_income_2018 = 3087
net_interest_income_managed_basis_2018 = 55687

# 2. Calculate the percentage of cib markets net interest income as part of the managed interest income for 2018
percent_cib_markets_net_interest_income_2018 = (cib_markets_net_interest_income_2018 / net_interest_income_managed_basis_2018) * 100

print(percent_cib_markets_net_interest_income_2018)
#DONE
```",5.54%,2,"5.543484116580171
",0.0554,0.0554,100.0,100.0
25,25,25,"what would the fair value of total securities available for sale be without the fair value of securities classified as corporate stocks as of december 31 , 2012?","```python
# 1. What is the fair value of total securities available for sale including corporate stocks as of December 31, 2012?
fair_value_total_securities_available_sale_with_stocks = 51052  # in millions (independent, support=[total securities available for sale ( a ) | $ 49447 | $ 51052 | $ 48609 | $ 48568])
# 2. What is the fair value of securities classified as corporate stocks as of December 31, 2012?
fair_value_corporate_stocks = 48568  # in millions (independent, support=[total securities available for sale ( a ) | $ 49447 | $ 51052 | $ 48609 | $ 48568])
# 3. What would be the fair value of total securities available for sale without the fair value of securities classified as corporate stocks?
fair_value_total_securities_available_sale_without_stocks = fair_value_total_securities_available_sale_with_stocks - fair_value_corporate_stocks
print(fair_value_total_securities_available_sale_without_stocks)
# DONE
```",61545,2,"2484
",61545.0,2484.0,0.0,0.0
26,26,26,"assuming the same level of settlements as in fiscal 2007 , what would be the ending balance at march 31 2008 in millions for unrecognized tax benefits?\\n","```python
# 1. What is the balance at April 1, 2007 for unrecognized tax benefits? (independent, support=[balance at April 1 2007 | $ 224, balance at March 31 2008 | $ 168])
balance_april_1_2007 = 224
# 2. What are the reductions for tax positions for closing of the applicable statute of limitations? (independent, support=[reductions for tax positions for closing of the applicable statute of limitations | -56 ( 56 )])
reductions = -56
# 3. Calculate the balance at March 31, 2008 by considering the adjustments. (depends on 1 and 2, support=[])
balance_march_31_2008 = balance_april_1_2007 + reductions
# 4. Convert the balance to millions for unrecognized tax benefits at March 31, 2008. (depends on 3, support=[])
balance_march_31_2008_millions = balance_march_31_2008 / 1000
print(balance_march_31_2008_millions)
#DONE
```",112,2,"0.168
",112.0,0.168,0.0,0.0
27,27,27,"as of december 2012 what is the percent of the square footage not leased to the total square footage in alpharetta , georgia","```python
# 1. What is the total square footage in Alpharetta, Georgia as of December 2012? (independent, support=[location | approximate square footage])
total_square_footage_alpharetta = 254000

# 2. What is the square footage that is not leased in Alpharetta, Georgia as of December 2012? (independent, support=[])
not_leased_square_footage_alpharetta = 165000

# 3. What is the percent of the square footage not leased to the total square footage in Alpharetta, Georgia as of December 2012? (depends on 1 and 2, support=[])
percent_not_leased = (not_leased_square_footage_alpharetta / total_square_footage_alpharetta) * 100
print(percent_not_leased)
# DONE
```",64.9%,2,"64.96062992125984
",0.649,0.649,100.0,100.0
28,28,28,as of december 2007 what was the percent of the square footage in alpharetta georgia not yet leased,"```python
# 1. What is the total square footage in Alpharetta, Georgia? (independent, support=[location | approximate square footage])
total_sqft_alpharetta = 219000

# 2. What is the square footage that has been leased in Alpharetta, Georgia? (derived, support=[])
leased_sqft_alpharetta = 166000

# 3. What is the square footage not yet leased in Alpharetta, Georgia? (depends on 1 and 2, support=[])
not_leased_sqft_alpharetta = total_sqft_alpharetta - leased_sqft_alpharetta

# 4. What is the percentage of square footage not yet leased in Alpharetta, Georgia? (depends on 1 and 3, support=[])
percent_not_leased_alpharetta = (not_leased_sqft_alpharetta / total_sqft_alpharetta) * 100

print(percent_not_leased_alpharetta)
#DONE
```",75.8%,2,"24.200913242009133
",0.758,24.200913242009133,0.0,0.0
29,29,29,"what is the total amount of stock options cancelled in millions during 2017 , 2016 and 2015?","```python
# 1. What is the total amount of stock options cancelled in 2017? (independent, support=[year ended december 2017 | year ended december 2016 | year ended december 2015])
cancelled_2017 = 29.0

# 2. What is the total amount of stock options cancelled in 2016? (independent, support=[year ended december 2017 | year ended december 2016 | year ended december 2015])
cancelled_2016 = 36.6

# 3. What is the total amount of stock options cancelled in 2015? (independent, support=[year ended december 2017 | year ended december 2016 | year ended december 2015])
cancelled_2015 = 22.1

# 4. What is the total amount of stock options cancelled in millions during 2017, 2016, and 2015? (depends on 1, 2, and 3, support=[])
total_cancelled = cancelled_2017 + cancelled_2016 + cancelled_2015
print(total_cancelled)
# DONE
```",12.1,2,"87.69999999999999
",12.1,87.69999999999999,0.0,0.0
30,30,30,"in 2004 and 2003 , what were the total shares of common stock that were issued to employees?","```python
# 1. What were the total shares of common stock issued to employees in 2004? (independent, support=[the company had 1939734 shares and 1937141 shares , respectively , of common stock that were issued to employees])
total_shares_2004 = 1939734

# 2. What were the total shares of common stock issued to employees in 2003? (independent, support=[the company had 1939734 shares and 1937141 shares , respectively , of common stock that were issued to employees])
total_shares_2003 = 1937141

print(""Total shares of common stock issued to employees in 2004: "", total_shares_2004)
print(""Total shares of common stock issued to employees in 2003: "", total_shares_2003)
#DONE
``` ",3876875,2,"Total shares of common stock issued to employees in 2004:  1939734
Total shares of common stock issued to employees in 2003:  1937141
",3876875.0,total shares of coon stock issued to employees in 2004:  1939734total shares of coon stock issued to employees in 2003:  1937141,0.0,0.0
31,31,31,what is the net change in net revenue for entergy wholesale commodities during 2012?,"```python
# 1. What was the net revenue for Entergy wholesale commodities in 2011? 
net_revenue_2011 = 2045  # in millions (independent)

# 2. What were the changes in net revenue components for 2012? 
nuclear_realized_price_changes = -194
nuclear_volume = -33
other = 36

# 3. What was the net revenue for Entergy wholesale commodities in 2012? 
net_revenue_2012 = 1854  # in millions (independent)

# 4. What is the net change in net revenue for Entergy wholesale commodities during 2012? 
net_change_in_net_revenue = net_revenue_2012 - net_revenue_2011  # Difference in net revenue from 2011 to 2012
print(net_change_in_net_revenue)
#DONE
``` ",-191,2,"-191
",-191.0,-191.0,100.0,100.0
32,32,32,what was the difference in percentage cumulative total return for goldman sachs group inc . and the s&p 500 index for the five year period ending 12/31/13?,"```python
# 1. What was the cumulative total return for goldman sachs group inc. on 12/31/08?
goldman_sachs_2008 = 100.00  # in dollars (independent, support=[12/26/08 | 12/31/09 | 12/31/10 | 12/31/11 | 12/31/12 | 12/31/13])
# 2. What was the cumulative total return for goldman sachs group inc. on 12/31/13?
goldman_sachs_2013 = 248.36  # in dollars (independent, support=[12/26/08 | 12/31/09 | 12/31/10 | 12/31/11 | 12/31/12 | 12/31/13])
# 3. What was the cumulative total return for the S&P 500 index on 12/31/08?
snp500_2008 = 100.00  # in dollars (independent, support=[12/26/08 | 12/31/09 | 12/31/10 | 12/31/11 | 12/31/12 | 12/31/13])
# 4. What was the cumulative total return for the S&P 500 index on 12/31/13?
snp500_2013 = 236.20  # in dollars (independent, support=[12/26/08 | 12/31/09 | 12/31/10 | 12/31/11 | 12/31/12 | 12/31/13])
# 5. What was the difference in cumulative total return percentage between Goldman Sachs Group Inc. and the S&P 500 index for the five-year period ending 12/31/13?
goldman_sachs_return = ((goldman_sachs_2013 - goldman_sachs_2008) / goldman_sachs_2008) * 100
snp500_return = ((snp500_2013 - snp500_2008) / snp500_2008) * 100
diff_percentage = goldman_sachs_return - snp500_return
print(diff_percentage)
#DONE
```",12.16%,2,"12.160000000000025
",0.1216,0.1216,100.0,100.0
